DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 02:00:00,3.94,14.89,18.85,15.08,106.74,42.86,0.68,47.04,2022,IGKV,Hourly,0,0
2022-01-06 03:00:00,3.35,11.29,14.87,15.13,59.17,23.2,0.63,33.55,2022,IGKV,Hourly,0,0
2022-01-06 04:00:00,3.13,11.35,14.48,14.76,59.24,20.0,0.59,33.5,2022,IGKV,Hourly,0,0
2022-01-06 05:00:00,3.08,11.39,14.59,15.43,57.29,23.02,0.57,33.98,2022,IGKV,Hourly,0,0
2022-01-06 06:00:00,3.05,11.45,14.67,15.41,65.68,22.85,0.53,34.61,2022,IGKV,Hourly,0,0
2022-01-06 07:00:00,2.95,11.97,15.08,14.84,68.87,24.96,0.51,38.16,2022,IGKV,Hourly,0,0
2022-01-06 08:00:00,2.47,12.73,15.25,14.69,71.56,29.1,0.51,38.8,2022,IGKV,Hourly,0,0
2022-01-06 09:00:00,1.75,12.67,14.95,14.47,80.72,30.2,0.53,39.38,2022,IGKV,Hourly,0,0
2022-01-06 10:00:00,1.11,12.4,13.93,14.72,86.78,34.2,0.6,38.03,2022,IGKV,Hourly,0,0
2022-01-06 11:00:00,0.99,13.11,14.25,14.44,101.98,36.85,0.8,36.1,2022,IGKV,Hourly,0,0
2022-01-06 12:00:00,1.21,11.27,12.48,15.58,125.81,41.4,0.82,27.31,2022,IGKV,Hourly,0,0
2022-01-06 13:00:00,1.17,13.15,14.32,16.43,132.25,42.1,0.78,22.73,2022,IGKV,Hourly,0,0
2022-01-06 14:00:00,1.24,14.39,15.66,15.22,147.86,45.69,0.75,24.04,2022,IGKV,Hourly,0,0
2022-01-06 15:00:00,1.36,14.6,15.98,14.17,167.73,46.01,0.7,24.97,2022,IGKV,Hourly,0,0
2022-01-06 16:00:00,1.72,14.38,16.36,13.11,176.36,50.19,0.64,27.76,2022,IGKV,Hourly,0,0
2022-01-06 17:00:00,1.62,14.01,15.77,12.49,177.3,47.94,0.55,29.4,2022,IGKV,Hourly,0,0
