DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 01:00:00,15.62,22.86,38.47,14.26,500.0,250.49,2.06,,2022,Siltara,Hourly,1,23
2022-01-06 02:00:00,12.08,21.89,33.98,14.09,500.0,250.49,1.9,,2022,Siltara,Hourly,1,23
2022-01-06 03:00:00,9.85,22.96,31.88,14.15,500.0,220.97,1.88,,2022,Siltara,Hourly,1,23
2022-01-06 04:00:00,9.15,24.09,33.23,14.09,500.0,224.12,1.82,,2022,Siltara,Hourly,1,23
2022-01-06 05:00:00,10.16,24.13,34.08,14.37,500.0,247.43,1.69,,2022,Siltara,Hourly,1,23
2022-01-06 06:00:00,11.41,24.45,35.57,14.54,500.0,247.43,1.69,,2022,Siltara,Hourly,1,23
2022-01-06 07:00:00,13.56,20.1,33.52,15.05,500.0,252.98,1.69,,2022,Siltara,Hourly,1,23
2022-01-06 08:00:00,13.94,20.55,34.37,15.23,500.0,259.53,1.63,,2022,Siltara,Hourly,1,23
2022-01-06 09:00:00,11.94,20.04,31.6,14.77,500.0,259.53,1.52,,2022,Siltara,Hourly,1,23
2022-01-06 10:00:00,7.04,22.77,28.23,14.74,366.86,195.02,1.37,,2022,Siltara,Hourly,1,23
2022-01-06 11:00:00,5.09,23.12,28.02,14.71,369.1,173.27,1.29,,2022,Siltara,Hourly,1,23
2022-01-06 12:00:00,5.22,23.28,28.5,14.03,377.16,500.0,1.14,,2022,Siltara,Hourly,1,23
2022-01-06 13:00:00,5.63,20.99,26.06,13.34,465.71,500.0,0.86,,2022,Siltara,Hourly,1,23
2022-01-06 14:00:00,7.11,22.68,29.8,12.17,91.58,69.14,0.64,,2022,Siltara,Hourly,1,23
2022-01-06 15:00:00,5.42,22.54,27.96,10.71,402.69,110.2,0.67,,2022,Siltara,Hourly,1,23
2022-01-06 16:00:00,8.86,38.56,47.16,10.42,461.63,116.51,1.29,,2022,Siltara,Hourly,1,23
2022-01-06 17:00:00,60.4,59.94,120.34,14.63,492.58,153.74,1.07,,2022,Siltara,Hourly,1,23
2022-01-06 18:00:00,78.31,72.62,153.59,14.51,500.0,155.88,0.98,,2022,Siltara,Hourly,1,23
2022-01-06 19:00:00,30.03,51.73,81.76,8.61,500.0,159.59,0.97,,2022,Siltara,Hourly,1,23
2022-01-06 20:00:00,57.14,53.96,106.28,8.8,500.0,152.34,1.35,,2022,Siltara,Hourly,1,23
2022-01-06 21:00:00,52.11,44.66,96.77,10.08,500.0,187.39,1.33,,2022,Siltara,Hourly,1,23
2022-01-06 22:00:00,42.32,34.35,76.36,11.01,500.0,182.37,1.25,,2022,Siltara,Hourly,1,23
2022-01-06 23:00:00,36.33,30.14,66.46,12.22,376.84,173.17,1.51,,2022,Siltara,Hourly,1,23
2022-01-07 01:00:00,5.73,6.76,12.16,20.42,71.66,40.35,0.72,12.3,2022,Siltara,Hourly,0,0
2022-01-07 02:00:00,7.02,6.07,11.63,20.79,75.81,42.14,0.75,12.44,2022,Siltara,Hourly,0,0
2022-01-07 03:00:00,6.97,3.11,9.95,18.05,74.04,39.71,0.72,12.4,2022,Siltara,Hourly,0,0
2022-01-07 04:00:00,5.55,2.93,8.48,17.51,60.96,36.32,0.63,12.24,2022,Siltara,Hourly,0,0
2022-01-07 05:00:00,5.8,3.18,8.96,17.9,53.08,33.43,0.55,12.31,2022,Siltara,Hourly,0,0
2022-01-07 06:00:00,5.91,3.8,9.52,17.66,54.71,34.13,0.55,12.47,2022,Siltara,Hourly,0,0
2022-01-07 07:00:00,5.68,3.56,9.21,18.37,55.77,33.76,0.54,12.35,2022,Siltara,Hourly,0,0
2022-01-07 08:00:00,6.59,3.75,10.34,18.98,60.0,34.32,0.52,12.47,2022,Siltara,Hourly,0,0
2022-01-07 09:00:00,5.66,4.26,9.79,21.32,61.01,27.74,0.47,12.37,2022,Siltara,Hourly,0,0
2022-01-07 10:00:00,6.89,3.75,10.26,21.25,59.52,23.9,0.41,12.3,2022,Siltara,Hourly,0,0
2022-01-07 11:00:00,4.74,3.82,8.16,22.62,54.74,21.05,0.37,12.07,2022,Siltara,Hourly,0,0
2022-01-07 12:00:00,3.87,5.93,9.8,26.56,50.19,20.26,0.3,11.9,2022,Siltara,Hourly,0,0
