DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-07 00:15:00,3.97,5.16,9.13,19.3,62.93,36.76,0.58,12.05,2022,Siltara,Quarterly,0,0
2022-01-07 00:30:00,5.14,6.72,11.85,20.42,62.93,36.76,0.62,12.19,2022,Siltara,Quarterly,0,0
2022-01-07 00:45:00,5.73,5.81,11.54,19.64,62.93,36.76,0.63,12.3,2022,Siltara,Quarterly,0,0
2022-01-07 01:00:00,5.4,6.76,12.16,20.39,71.66,40.35,0.72,12.2,2022,Siltara,Quarterly,0,0
2022-01-07 01:15:00,5.57,6.07,11.63,20.79,75.81,42.14,0.73,12.18,2022,Siltara,Quarterly,0,0
2022-01-07 01:30:00,6.26,4.17,10.44,19.43,75.81,42.14,0.7,12.38,2022,Siltara,Quarterly,0,0
2022-01-07 01:45:00,6.64,3.15,9.78,19.09,75.81,42.14,0.73,12.44,2022,Siltara,Quarterly,0,0
2022-01-07 02:00:00,7.02,2.82,9.84,18.04,74.63,40.52,0.75,12.43,2022,Siltara,Quarterly,0,0
2022-01-07 02:15:00,6.97,2.98,9.95,18.05,74.04,39.71,0.72,12.38,2022,Siltara,Quarterly,0,0
2022-01-07 02:30:00,6.66,3.05,9.71,17.36,74.04,39.71,0.71,12.4,2022,Siltara,Quarterly,0,0
2022-01-07 02:45:00,6.3,3.11,9.41,17.57,74.04,39.71,0.68,12.3,2022,Siltara,Quarterly,0,0
2022-01-07 03:00:00,5.84,2.86,8.71,17.17,65.32,37.45,0.65,12.22,2022,Siltara,Quarterly,0,0
2022-01-07 03:15:00,5.55,2.93,8.48,17.51,60.96,36.32,0.63,12.24,2022,Siltara,Quarterly,0,0
2022-01-07 03:30:00,5.38,2.51,7.89,17.28,60.96,36.32,0.62,12.18,2022,Siltara,Quarterly,0,0
2022-01-07 03:45:00,5.03,2.7,7.73,17.19,60.96,36.32,0.58,12.06,2022,Siltara,Quarterly,0,0
2022-01-07 04:00:00,4.74,2.74,7.48,17.01,53.53,33.46,0.58,12.09,2022,Siltara,Quarterly,0,0
2022-01-07 04:15:00,4.59,2.39,6.98,17.03,49.82,32.03,0.55,11.97,2022,Siltara,Quarterly,0,0
2022-01-07 04:30:00,4.94,3.18,8.12,17.9,49.82,32.03,0.54,11.98,2022,Siltara,Quarterly,0,0
2022-01-07 04:45:00,5.44,2.97,8.41,17.82,49.82,32.03,0.54,12.19,2022,Siltara,Quarterly,0,0
2022-01-07 05:00:00,5.8,3.16,8.96,17.83,53.08,33.43,0.53,12.31,2022,Siltara,Quarterly,0,0
2022-01-07 05:15:00,5.85,3.51,9.37,17.29,54.71,34.13,0.53,12.4,2022,Siltara,Quarterly,0,0
2022-01-07 05:30:00,5.91,3.62,9.52,17.47,54.71,34.13,0.55,12.47,2022,Siltara,Quarterly,0,0
2022-01-07 05:45:00,5.63,3.8,9.42,17.53,54.71,34.13,0.53,12.44,2022,Siltara,Quarterly,0,0
2022-01-07 06:00:00,5.4,3.48,8.88,17.66,52.45,33.15,0.53,12.35,2022,Siltara,Quarterly,0,0
2022-01-07 06:15:00,5.16,3.45,8.61,17.66,51.33,32.66,0.54,12.35,2022,Siltara,Quarterly,0,0
2022-01-07 06:30:00,5.07,3.49,8.56,17.02,51.33,32.66,0.54,12.34,2022,Siltara,Quarterly,0,0
2022-01-07 06:45:00,5.14,3.56,8.7,17.62,51.33,32.66,0.54,12.3,2022,Siltara,Quarterly,0,0
2022-01-07 07:00:00,5.68,3.52,9.21,18.37,55.77,33.76,0.53,12.34,2022,Siltara,Quarterly,0,0
2022-01-07 07:15:00,6.22,3.67,9.89,18.85,57.99,34.32,0.52,12.42,2022,Siltara,Quarterly,0,0
2022-01-07 07:30:00,6.59,3.75,10.34,18.98,57.99,34.32,0.5,12.47,2022,Siltara,Quarterly,0,0
2022-01-07 07:45:00,6.55,3.62,10.17,18.65,57.99,34.32,0.49,12.46,2022,Siltara,Quarterly,0,0
2022-01-07 08:00:00,6.11,3.5,9.61,17.86,60.0,29.93,0.48,12.46,2022,Siltara,Quarterly,0,0
2022-01-07 08:15:00,5.66,3.48,9.15,18.31,61.01,27.74,0.47,12.37,2022,Siltara,Quarterly,0,0
2022-01-07 08:30:00,5.23,3.83,9.05,18.55,61.01,27.74,0.47,12.29,2022,Siltara,Quarterly,0,0
2022-01-07 08:45:00,5.54,4.26,9.79,21.32,61.01,27.74,0.43,12.04,2022,Siltara,Quarterly,0,0
2022-01-07 09:00:00,5.62,3.35,8.97,19.09,60.02,25.18,0.44,12.26,2022,Siltara,Quarterly,0,0
2022-01-07 09:15:00,5.87,3.75,9.62,21.25,59.52,23.9,0.4,12.16,2022,Siltara,Quarterly,0,0
2022-01-07 09:30:00,6.89,3.37,10.26,20.35,59.52,23.9,0.41,12.3,2022,Siltara,Quarterly,0,0
2022-01-07 09:45:00,6.38,2.88,9.27,18.41,59.52,23.9,0.38,12.18,2022,Siltara,Quarterly,0,0
2022-01-07 10:00:00,5.46,3.0,8.45,17.84,56.34,22.0,0.39,12.25,2022,Siltara,Quarterly,0,0
2022-01-07 10:15:00,4.74,2.9,7.64,18.95,54.74,21.05,0.35,12.07,2022,Siltara,Quarterly,0,0
2022-01-07 10:30:00,4.23,3.32,7.56,20.92,54.74,21.05,0.37,12.04,2022,Siltara,Quarterly,0,0
2022-01-07 10:45:00,4.34,3.82,8.16,22.62,54.74,21.05,0.32,11.92,2022,Siltara,Quarterly,0,0
2022-01-07 11:00:00,3.64,3.51,7.16,22.3,51.23,19.95,0.28,11.83,2022,Siltara,Quarterly,0,0
2022-01-07 11:15:00,3.19,3.53,6.72,21.83,49.47,19.42,0.3,11.9,2022,Siltara,Quarterly,0,0
2022-01-07 11:30:00,2.38,2.86,5.24,23.17,49.47,19.42,0.28,11.85,2022,Siltara,Quarterly,0,0
2022-01-07 11:45:00,3.87,5.93,9.8,23.58,49.47,19.42,0.26,11.55,2022,Siltara,Quarterly,0,0
2022-01-07 12:00:00,2.48,4.2,6.69,26.56,50.19,20.26,0.29,11.53,2022,Siltara,Quarterly,0,0
2022-01-07 12:15:00,3.01,6.91,9.91,23.25,50.54,20.68,0.3,11.56,2022,Siltara,Quarterly,0,0
2022-01-07 12:30:00,2.26,5.03,7.28,24.93,50.54,20.68,0.31,11.24,2022,Siltara,Quarterly,0,0
2022-01-07 12:45:00,1.17,4.55,5.72,27.31,50.54,20.68,0.23,11.32,2022,Siltara,Quarterly,0,0
2022-01-07 13:00:00,1.04,4.24,5.28,28.52,51.19,22.42,0.26,11.42,2022,Siltara,Quarterly,0,0
2022-01-07 13:15:00,1.77,5.94,7.71,34.34,51.5,23.24,0.28,11.23,2022,Siltara,Quarterly,0,0
2022-01-07 13:30:00,0.9,5.2,6.1,31.97,51.5,23.24,0.23,11.07,2022,Siltara,Quarterly,0,0
2022-01-07 13:45:00,0.7,3.84,4.55,28.2,51.5,23.24,0.25,11.37,2022,Siltara,Quarterly,0,0
2022-01-07 14:00:00,0.53,2.88,3.41,27.17,50.62,22.2,0.26,11.48,2022,Siltara,Quarterly,0,0
2022-01-07 14:15:00,1.25,4.15,5.4,26.89,50.19,21.68,0.18,10.93,2022,Siltara,Quarterly,0,0
2022-01-07 14:30:00,0.28,3.08,3.36,26.05,50.19,21.68,0.24,11.24,2022,Siltara,Quarterly,0,0
2022-01-07 14:45:00,0.94,5.17,6.12,34.87,50.19,21.68,0.19,10.98,2022,Siltara,Quarterly,0,0
