DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,WS,WD,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 02:00:00,3.27,30.75,33.21,36.53,108.42,30.89,1.35,232.75,2.61,19.07,2022,AIIMS,Hourly,0,0
2022-01-06 03:00:00,3.13,28.41,30.54,31.68,102.0,31.0,1.26,231.0,2.54,16.58,2022,AIIMS,Hourly,0,0
2022-01-06 04:00:00,2.79,27.45,30.23,35.5,95.55,30.14,0.55,220.7,2.31,20.71,2022,AIIMS,Hourly,0,0
2022-01-06 05:00:00,2.5,16.24,17.76,32.52,94.83,28.28,0.61,209.73,2.4,20.49,2022,AIIMS,Hourly,0,0
2022-01-06 06:00:00,2.5,15.27,17.48,31.42,86.62,24.85,0.56,187.5,2.28,20.25,2022,AIIMS,Hourly,0,0
2022-01-06 07:00:00,2.88,14.94,17.82,31.77,82.84,24.55,1.0,215.44,2.28,17.26,2022,AIIMS,Hourly,0,0
2022-01-06 08:00:00,4.35,21.39,24.9,33.15,89.69,26.77,0.87,222.04,2.65,20.81,2022,AIIMS,Hourly,0,0
2022-01-06 09:00:00,5.84,20.71,26.55,35.62,107.03,29.26,1.14,229.78,2.94,22.69,2022,AIIMS,Hourly,0,0
2022-01-06 10:00:00,6.11,22.14,26.57,36.24,116.96,30.98,1.67,232.0,2.99,24.64,2022,AIIMS,Hourly,0,0
2022-01-06 11:00:00,3.59,24.14,27.34,31.11,114.36,31.64,1.6,230.48,2.81,17.83,2022,AIIMS,Hourly,0,0
2022-01-06 12:00:00,2.14,24.22,26.31,30.59,104.98,29.74,1.07,357.9,2.56,19.81,2022,AIIMS,Hourly,0,0
2022-01-06 13:00:00,2.25,33.81,38.37,31.9,117.67,30.08,0.6,281.04,2.56,21.44,2022,AIIMS,Hourly,0,0
2022-01-06 14:00:00,3.77,39.83,52.93,37.05,131.85,31.12,0.49,83.79,2.59,10.79,2022,AIIMS,Hourly,0,0
