DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,WS,WD,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-07 00:15:00,1.88,3.49,5.37,12.38,38.77,11.24,0.7,188.43,0.65,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 00:30:00,1.86,3.32,5.18,12.95,28.36,9.54,0.5,174.09,0.66,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 00:45:00,1.87,3.0,4.87,2.81,28.36,9.54,0.36,172.13,0.51,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 01:00:00,1.86,3.19,5.05,11.53,28.36,9.54,0.33,200.07,0.54,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 01:15:00,1.82,4.09,5.91,13.67,27.48,9.01,0.68,194.1,0.52,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 01:30:00,1.78,4.06,5.85,13.56,25.73,7.93,0.94,204.77,0.5,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 01:45:00,1.79,3.61,5.4,13.45,25.73,7.93,0.77,194.69,0.47,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 02:00:00,1.8,3.53,5.33,14.08,25.73,7.93,0.75,191.17,0.45,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 02:15:00,1.77,3.51,5.28,14.29,23.12,7.38,1.12,215.07,0.45,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 02:30:00,1.81,3.31,5.12,14.04,17.9,6.27,1.04,202.36,0.44,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 02:45:00,1.87,2.83,4.7,13.77,17.9,6.27,1.02,207.71,0.44,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 03:00:00,1.93,2.98,4.91,14.18,17.9,6.27,1.07,215.56,0.44,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 03:15:00,1.99,2.93,4.92,13.8,17.67,5.76,0.94,221.17,0.45,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 03:30:00,2.06,2.89,4.95,14.38,17.21,4.74,1.19,226.29,0.42,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 03:45:00,2.09,2.9,4.99,14.05,17.21,4.74,0.82,219.63,0.43,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 04:00:00,2.1,2.83,4.92,14.24,17.21,4.74,1.15,228.88,0.43,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 04:15:00,2.15,2.62,4.77,14.62,16.37,4.48,1.0,223.7,0.41,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 04:30:00,2.18,3.16,5.34,14.48,14.67,3.98,0.95,226.62,0.43,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 04:45:00,2.5,3.55,6.06,15.12,14.67,3.98,0.3,203.67,0.4,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 05:00:00,2.63,3.93,6.56,14.96,14.67,3.98,0.55,235.18,0.4,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 05:15:00,2.65,4.2,6.85,14.87,15.17,3.62,0.3,226.61,0.41,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 05:30:00,2.73,4.57,7.3,14.9,16.16,2.9,0.42,229.87,0.43,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 05:45:00,2.77,4.68,7.45,14.43,16.16,2.9,0.88,230.99,0.44,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 06:00:00,2.82,5.04,7.86,14.55,16.16,2.9,0.71,229.03,0.49,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 06:15:00,3.32,4.6,7.91,14.23,24.85,3.22,1.0,224.95,0.53,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 06:30:00,3.29,5.05,8.34,14.39,42.22,3.86,1.06,225.89,0.54,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 06:45:00,3.86,6.3,10.16,4.2,42.22,3.86,0.8,224.84,0.55,3.97,2022,AIIMS,Quarterly,0,0
2022-01-07 07:00:00,3.93,5.58,9.51,13.22,42.22,3.86,1.02,220.21,0.57,4.08,2022,AIIMS,Quarterly,0,0
2022-01-07 07:15:00,3.98,5.22,9.2,14.19,41.13,5.04,1.19,216.84,0.56,4.03,2022,AIIMS,Quarterly,0,0
2022-01-07 07:30:00,3.97,5.28,9.25,14.56,38.95,7.39,1.13,205.31,0.61,4.11,2022,AIIMS,Quarterly,0,0
2022-01-07 07:45:00,3.9,4.93,8.82,14.58,38.95,7.39,1.2,197.51,0.64,4.03,2022,AIIMS,Quarterly,0,0
2022-01-07 08:00:00,3.86,5.72,9.57,14.41,38.95,7.39,1.43,216.22,0.65,4.2,2022,AIIMS,Quarterly,0,0
2022-01-07 08:15:00,4.15,6.18,10.33,14.68,38.71,8.1,1.26,213.92,0.66,4.26,2022,AIIMS,Quarterly,0,0
2022-01-07 08:30:00,4.29,6.59,10.88,14.46,38.22,9.53,1.12,228.4,0.7,4.41,2022,AIIMS,Quarterly,0,0
2022-01-07 08:45:00,4.48,6.92,11.4,14.34,38.22,9.53,1.2,218.34,0.76,4.52,2022,AIIMS,Quarterly,0,0
2022-01-07 09:00:00,4.64,7.11,11.75,14.17,38.22,9.53,1.38,230.63,0.8,4.56,2022,AIIMS,Quarterly,0,0
2022-01-07 09:15:00,4.88,7.47,12.35,13.53,37.14,9.3,1.03,241.26,0.86,4.73,2022,AIIMS,Quarterly,0,0
2022-01-07 09:30:00,5.35,8.05,13.41,13.44,34.99,8.83,1.5,227.24,0.94,4.73,2022,AIIMS,Quarterly,0,0
2022-01-07 09:45:00,5.12,7.81,12.93,13.36,34.99,8.83,1.32,228.5,0.95,4.85,2022,AIIMS,Quarterly,0,0
2022-01-07 10:00:00,5.15,8.29,13.44,12.7,34.99,8.83,1.57,222.57,0.94,4.8,2022,AIIMS,Quarterly,0,0
2022-01-07 10:15:00,5.08,9.29,14.37,12.96,35.18,9.61,1.57,221.75,0.93,4.82,2022,AIIMS,Quarterly,0,0
2022-01-07 10:30:00,4.58,9.07,13.64,12.56,35.58,11.17,0.85,231.01,0.92,4.76,2022,AIIMS,Quarterly,0,0
2022-01-07 10:45:00,4.71,11.06,15.77,11.84,35.58,11.17,0.5,214.2,0.93,3.6,2022,AIIMS,Quarterly,0,0
2022-01-07 11:00:00,3.67,8.99,12.66,13.29,35.58,11.17,1.34,221.81,0.91,4.03,2022,AIIMS,Quarterly,0,0
2022-01-07 11:15:00,3.5,9.3,12.8,13.57,36.81,11.32,1.33,218.76,0.95,4.36,2022,AIIMS,Quarterly,0,0
2022-01-07 11:30:00,2.79,8.84,11.63,14.23,39.29,11.61,1.32,227.85,0.93,4.47,2022,AIIMS,Quarterly,0,0
2022-01-07 11:45:00,2.37,8.54,10.91,13.95,39.29,11.61,1.07,206.11,0.93,4.35,2022,AIIMS,Quarterly,0,0
2022-01-07 12:00:00,2.22,8.23,10.44,13.62,39.29,11.61,1.39,231.48,0.91,4.23,2022,AIIMS,Quarterly,0,0
2022-01-07 12:15:00,2.09,8.49,10.57,13.49,40.42,13.23,1.06,211.78,0.94,4.27,2022,AIIMS,Quarterly,0,0
2022-01-07 12:30:00,1.93,8.54,10.47,13.42,42.68,16.48,1.39,214.96,0.98,4.23,2022,AIIMS,Quarterly,0,0
2022-01-07 12:45:00,1.92,8.8,10.72,4.61,42.68,16.48,1.8,220.12,0.95,4.13,2022,AIIMS,Quarterly,0,0
2022-01-07 13:00:00,2.0,9.46,11.46,11.99,42.68,16.48,1.31,207.74,0.99,3.96,2022,AIIMS,Quarterly,0,0
2022-01-07 13:15:00,2.28,10.31,12.59,8.2,42.56,16.69,1.37,221.01,1.0,4.14,2022,AIIMS,Quarterly,0,0
2022-01-07 13:30:00,2.3,8.96,11.26,6.76,42.34,17.12,1.13,224.52,1.0,4.04,2022,AIIMS,Quarterly,0,0
2022-01-07 13:45:00,2.05,8.94,10.99,9.12,42.34,17.12,1.57,221.15,1.01,4.24,2022,AIIMS,Quarterly,0,0
2022-01-07 14:00:00,1.92,8.14,10.06,8.53,42.34,17.12,1.1,209.36,1.07,4.01,2022,AIIMS,Quarterly,0,0
2022-01-07 14:15:00,2.17,10.01,12.17,2.53,42.02,18.25,1.27,225.38,0.84,4.59,2022,AIIMS,Quarterly,0,0
2022-01-07 14:30:00,2.14,10.92,13.05,3.64,41.39,20.49,1.46,223.97,0.75,4.81,2022,AIIMS,Quarterly,0,0
2022-01-07 14:45:00,1.79,10.16,11.95,7.23,41.39,20.49,0.99,197.84,0.78,4.5,2022,AIIMS,Quarterly,0,0
2022-01-07 15:00:00,1.62,9.15,10.77,5.47,41.39,20.49,0.99,192.24,0.83,4.4,2022,AIIMS,Quarterly,0,0
2022-01-07 15:15:00,1.75,7.7,9.44,1.8,46.46,21.12,1.26,214.37,0.79,4.05,2022,AIIMS,Quarterly,0,0
2022-01-07 15:30:00,1.87,7.22,9.08,2.96,56.62,22.37,1.31,222.29,0.8,4.1,2022,AIIMS,Quarterly,0,0
2022-01-07 15:45:00,1.9,7.1,9.0,2.68,56.62,22.37,1.59,222.27,0.8,4.05,2022,AIIMS,Quarterly,0,0
2022-01-07 16:00:00,1.85,6.74,8.59,2.39,56.62,22.37,1.14,235.25,0.82,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 16:15:00,2.24,9.41,11.64,3.31,57.16,21.34,1.18,212.76,0.78,3.99,2022,AIIMS,Quarterly,0,0
2022-01-07 16:30:00,2.62,7.67,10.29,2.21,58.23,19.26,1.28,228.95,0.78,3.78,2022,AIIMS,Quarterly,0,0
2022-01-07 16:45:00,2.26,7.47,9.73,6.11,58.23,19.26,1.25,219.77,0.83,3.86,2022,AIIMS,Quarterly,0,0
2022-01-07 17:00:00,2.31,7.59,9.9,8.77,58.23,19.26,1.34,220.49,0.84,3.89,2022,AIIMS,Quarterly,0,0
2022-01-07 17:15:00,2.65,11.25,13.9,5.99,57.79,20.41,0.97,189.72,0.81,3.67,2022,AIIMS,Quarterly,0,0
2022-01-07 17:30:00,1.94,12.73,14.67,5.42,56.91,22.69,1.14,208.84,0.85,3.67,2022,AIIMS,Quarterly,0,0
2022-01-07 17:45:00,1.82,10.06,11.88,6.12,56.91,22.69,1.06,197.99,0.79,3.92,2022,AIIMS,Quarterly,0,0
2022-01-07 18:00:00,1.77,10.18,11.95,11.99,56.91,22.69,0.98,193.41,0.82,3.57,2022,AIIMS,Quarterly,0,0
2022-01-07 18:15:00,1.69,7.73,9.42,10.92,59.59,22.16,0.95,209.83,0.86,3.92,2022,AIIMS,Quarterly,0,0
2022-01-07 18:30:00,1.63,7.07,8.7,12.48,64.94,21.09,0.79,210.8,0.86,3.98,2022,AIIMS,Quarterly,0,0
2022-01-07 18:45:00,1.57,6.68,8.26,4.31,64.94,21.09,0.89,200.33,0.84,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 19:00:00,1.63,5.83,7.45,12.12,64.94,21.09,0.92,207.19,0.82,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 19:15:00,1.64,5.5,7.14,12.19,61.21,20.97,0.89,210.75,0.82,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 19:30:00,1.63,5.13,6.76,12.21,53.77,20.72,0.74,196.7,0.79,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 19:45:00,2.02,6.23,8.25,11.08,53.77,20.72,0.98,222.96,0.78,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 20:00:00,1.83,5.6,7.43,11.34,53.77,20.72,0.93,222.49,0.79,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 20:15:00,1.83,6.02,7.85,9.35,53.01,21.8,0.74,206.65,0.67,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 20:30:00,2.09,5.93,8.02,10.66,51.49,23.96,0.52,211.68,0.75,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 20:45:00,1.94,5.99,7.93,7.75,51.49,23.96,0.56,211.99,0.68,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 21:00:00,1.95,5.06,7.01,11.56,51.49,23.96,1.01,227.16,0.8,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 21:15:00,2.35,7.57,9.91,10.86,50.91,22.13,0.55,231.77,0.79,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 21:30:00,2.36,7.56,9.92,11.71,49.75,18.46,0.72,230.79,0.84,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 21:45:00,2.18,6.5,8.68,13.04,49.75,18.46,1.04,225.54,0.81,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 22:00:00,2.07,5.68,7.75,13.32,49.75,18.46,0.96,223.77,0.79,4.0,2022,AIIMS,Quarterly,0,0
2022-01-07 22:15:00,2.05,5.88,7.94,13.31,48.32,17.32,0.99,225.21,0.78,4.0,2022,AIIMS,Quarterly,0,0
