DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,WS,WD,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 01:00:00,29.72,33.56,60.5,7.65,159.06,,1.85,253.23,1.54,81.35,2022,Bhatagaon,Hourly,1,14
2022-01-06 02:00:00,14.63,33.79,48.43,7.65,113.6,,1.58,306.48,1.46,83.44,2022,Bhatagaon,Hourly,1,14
2022-01-06 03:00:00,3.94,30.37,34.3,7.45,113.6,,1.85,263.64,1.29,73.88,2022,Bhatagaon,Hourly,1,14
2022-01-06 04:00:00,2.04,29.03,31.03,7.17,100.69,,1.88,310.08,1.04,74.44,2022,Bhatagaon,Hourly,1,14
2022-01-06 05:00:00,2.81,22.26,24.9,7.9,92.54,,15.35,192.29,1.01,53.08,2022,Bhatagaon,Hourly,1,14
2022-01-06 06:00:00,3.46,26.97,30.43,8.06,93.99,,10.97,233.79,1.19,73.08,2022,Bhatagaon,Hourly,1,14
2022-01-06 07:00:00,5.91,30.45,36.37,7.66,97.71,,2.09,320.83,1.27,70.29,2022,Bhatagaon,Hourly,1,14
2022-01-06 08:00:00,5.94,32.96,37.55,6.66,107.48,,0.65,353.31,1.3,72.99,2022,Bhatagaon,Hourly,1,14
2022-01-06 09:00:00,2.85,30.08,32.21,5.71,116.59,,0.95,293.56,1.54,40.68,2022,Bhatagaon,Hourly,1,14
2022-01-06 10:00:00,1.63,35.99,37.09,5.14,122.58,,2.23,343.58,1.72,57.6,2022,Bhatagaon,Hourly,1,14
2022-01-06 11:00:00,1.2,38.52,39.63,5.37,128.59,,3.5,334.1,1.82,61.89,2022,Bhatagaon,Hourly,1,14
2022-01-06 12:00:00,1.68,45.44,46.26,6.07,128.59,,4.61,345.68,1.65,64.72,2022,Bhatagaon,Hourly,1,14
2022-01-06 13:00:00,1.1,58.31,59.28,4.9,123.88,,3.55,89.57,1.57,109.72,2022,Bhatagaon,Hourly,1,14
2022-01-06 14:00:00,0.49,56.3,56.79,4.6,164.495,,2.57,50.64,1.26,126.38,2022,Bhatagaon,Hourly,1,14
2022-01-06 15:00:00,3.35,48.94,51.25,4.88,205.11,59.52,3.32,356.74,1.38,120.11,2022,Bhatagaon,Hourly,0,0
2022-01-06 16:00:00,2.8,46.97,49.77,5.74,205.11,59.52,4.2,342.38,1.38,103.03,2022,Bhatagaon,Hourly,0,0
2022-01-06 17:00:00,1.56,42.71,44.27,5.64,185.05,57.64,4.15,337.64,1.39,102.12,2022,Bhatagaon,Hourly,0,0
2022-01-06 18:00:00,3.9,46.43,50.33,6.9,165.65,44.69,3.68,358.68,1.78,113.89,2022,Bhatagaon,Hourly,0,0
2022-01-06 19:00:00,28.76,60.55,89.31,7.28,165.65,44.37,2.44,60.49,3.5,112.07,2022,Bhatagaon,Hourly,0,0
2022-01-06 20:00:00,59.53,72.95,132.47,7.86,191.28,47.51,2.24,50.74,4.06,121.57,2022,Bhatagaon,Hourly,0,0
2022-01-06 21:00:00,115.4,80.61,196.0,8.45,219.75,50.71,2.12,249.58,5.61,143.48,2022,Bhatagaon,Hourly,0,0
2022-01-06 22:00:00,166.32,81.7,248.02,8.59,280.81,61.47,1.89,150.01,8.16,165.49,2022,Bhatagaon,Hourly,0,0
2022-01-06 23:00:00,178.66,81.9,260.56,9.71,333.23,68.73,1.63,312.6,4.79,173.84,2022,Bhatagaon,Hourly,0,0
2022-01-08 01:00:00,28.92,13.96,42.61,5.39,167.11079999999998,46.34,0.13,314.58,4.3,13.16,2022,Bhatagaon,Hourly,1,23
2022-01-08 02:00:00,23.78,13.5,37.28,5.89,160.7216,41.05,0.09,278.83,4.11,11.47,2022,Bhatagaon,Hourly,1,23
2022-01-08 03:00:00,20.41,11.89,32.2,6.16,154.33239999999998,39.53,0.14,311.69,3.98,8.95,2022,Bhatagaon,Hourly,1,23
2022-01-08 04:00:00,18.69,11.25,29.94,6.46,,35.6,0.1,245.81,3.91,9.12,2022,Bhatagaon,Hourly,1,23
2022-01-08 05:00:00,14.87,11.53,26.29,6.28,,30.27,0.14,351.34,3.75,8.67,2022,Bhatagaon,Hourly,1,23
2022-01-08 06:00:00,15.85,11.13,26.86,6.66,,29.3,0.13,219.38,3.71,7.89,2022,Bhatagaon,Hourly,1,23
2022-01-08 07:00:00,15.53,10.43,25.72,6.65,,26.72,0.41,209.96,3.64,7.43,2022,Bhatagaon,Hourly,1,23
2022-01-08 08:00:00,14.4,12.49,25.63,6.44,,25.73,0.15,327.09,3.56,8.28,2022,Bhatagaon,Hourly,1,23
2022-01-08 09:00:00,12.93,15.15,26.33,6.01,,24.14,0.19,352.3,3.57,8.22,2022,Bhatagaon,Hourly,1,23
2022-01-08 10:00:00,9.15,18.67,25.06,5.87,,29.33,0.16,328.69,3.66,6.24,2022,Bhatagaon,Hourly,1,23
2022-01-08 11:00:00,3.56,24.07,25.45,5.69,,32.34,0.45,321.43,3.69,5.15,2022,Bhatagaon,Hourly,1,23
2022-01-08 12:00:00,7.4,30.12,37.52,2.67,,33.78,1.48,342.41,3.73,7.92,2022,Bhatagaon,Hourly,1,23
2022-01-08 13:00:00,6.03,37.07,41.0,3.04,,39.16,0.95,46.56,3.85,8.12,2022,Bhatagaon,Hourly,1,23
2022-01-08 14:00:00,4.02,37.93,41.52,2.32,,37.59,1.44,356.26,3.87,7.74,2022,Bhatagaon,Hourly,1,23
2022-01-08 15:00:00,8.45,33.29,35.86,2.21,,33.3,1.43,342.5,3.72,8.14,2022,Bhatagaon,Hourly,1,23
2022-01-08 16:00:00,9.52,26.1,35.29,2.46,,31.95,1.19,337.52,3.64,8.36,2022,Bhatagaon,Hourly,1,23
2022-01-08 17:00:00,7.37,21.65,28.04,3.82,,30.72,1.0,346.24,3.57,6.04,2022,Bhatagaon,Hourly,1,23
