DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,WS,WD,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 00:15:00,29.72,30.78,60.5,7.38,159.06,,1.85,184.43,1.08,60.94,2022,Bhatagaon,Quarterly,1,53
2022-01-06 00:30:00,26.71,30.57,57.28,7.65,145.67,,1.59,209.51,1.03,61.14,2022,Bhatagaon,Quarterly,1,53
2022-01-06 00:45:00,23.57,32.26,55.83,7.53,140.26,,0.77,253.23,1.54,68.92,2022,Bhatagaon,Quarterly,1,53
2022-01-06 01:00:00,19.18,33.56,52.74,7.64,140.26,,1.37,246.29,1.45,81.35,2022,Bhatagaon,Quarterly,1,53
2022-01-06 01:15:00,14.63,33.79,48.43,7.65,108.04,,0.79,262.48,1.46,83.44,2022,Bhatagaon,Quarterly,1,53
2022-01-06 01:30:00,10.76,33.63,44.39,7.24,109.14,,0.76,306.48,1.36,81.39,2022,Bhatagaon,Quarterly,1,53
2022-01-06 01:45:00,7.81,32.8,40.61,7.1,113.6,,1.26,246.09,1.4,78.83,2022,Bhatagaon,Quarterly,1,53
2022-01-06 02:00:00,5.52,31.56,37.08,7.41,113.6,,1.58,259.86,1.3,76.66,2022,Bhatagaon,Quarterly,1,53
2022-01-06 02:15:00,3.94,30.37,34.3,7.45,113.6,,1.54,263.64,1.29,73.88,2022,Bhatagaon,Quarterly,1,53
2022-01-06 02:30:00,3.01,29.04,32.05,7.15,106.85,,1.71,200.34,1.25,72.06,2022,Bhatagaon,Quarterly,1,53
2022-01-06 02:45:00,2.51,28.29,30.79,7.42,100.69,,1.85,199.65,1.24,69.01,2022,Bhatagaon,Quarterly,1,53
2022-01-06 03:00:00,2.18,27.63,29.81,3.38,100.69,,1.77,245.59,1.23,69.98,2022,Bhatagaon,Quarterly,1,53
2022-01-06 03:15:00,2.01,29.03,31.03,6.16,100.69,,1.88,214.74,1.01,74.44,2022,Bhatagaon,Quarterly,1,53
2022-01-06 03:30:00,1.96,22.33,24.29,6.63,95.02,,1.5,215.86,0.92,51.19,2022,Bhatagaon,Quarterly,1,53
2022-01-06 03:45:00,2.0,20.84,22.84,6.91,89.68,,1.16,310.08,0.96,41.49,2022,Bhatagaon,Quarterly,1,53
2022-01-06 04:00:00,2.04,20.82,22.86,7.17,89.68,,1.58,239.08,1.04,40.47,2022,Bhatagaon,Quarterly,1,53
2022-01-06 04:15:00,2.21,21.04,23.24,7.54,89.68,,2.79,186.91,1.01,44.85,2022,Bhatagaon,Quarterly,1,53
2022-01-06 04:30:00,2.44,21.71,24.15,7.41,90.41,,12.7,192.29,0.99,47.23,2022,Bhatagaon,Quarterly,1,53
2022-01-06 04:45:00,2.64,22.26,24.9,7.45,92.54,,14.97,191.48,0.98,53.08,2022,Bhatagaon,Quarterly,1,53
2022-01-06 05:00:00,2.81,21.67,24.48,7.9,92.54,,15.35,181.77,0.98,52.24,2022,Bhatagaon,Quarterly,1,53
2022-01-06 05:15:00,3.03,24.07,27.1,8.06,92.54,,10.97,206.07,1.16,55.54,2022,Bhatagaon,Quarterly,1,53
2022-01-06 05:30:00,3.06,25.45,28.52,7.78,93.29,,6.69,227.06,1.13,72.65,2022,Bhatagaon,Quarterly,1,53
2022-01-06 05:45:00,3.0,26.15,29.15,7.71,93.99,,1.67,215.88,1.17,73.08,2022,Bhatagaon,Quarterly,1,53
2022-01-06 06:00:00,3.46,26.97,30.43,7.52,93.99,,1.43,233.79,1.19,71.65,2022,Bhatagaon,Quarterly,1,53
2022-01-06 06:15:00,3.94,27.68,31.62,7.66,93.99,,0.76,260.71,1.19,70.29,2022,Bhatagaon,Quarterly,1,53
2022-01-06 06:30:00,4.21,28.39,32.6,7.41,95.91,,1.64,281.3,1.23,68.96,2022,Bhatagaon,Quarterly,1,53
2022-01-06 06:45:00,4.55,29.22,33.78,7.23,97.71,,1.43,320.83,1.23,67.64,2022,Bhatagaon,Quarterly,1,53
2022-01-06 07:00:00,5.91,30.45,36.37,3.47,97.71,,2.09,28.57,1.27,68.42,2022,Bhatagaon,Quarterly,1,53
2022-01-06 07:15:00,5.94,31.62,37.55,6.39,97.71,,0.6,353.31,1.28,68.16,2022,Bhatagaon,Quarterly,1,53
2022-01-06 07:30:00,5.35,32.01,37.36,6.57,102.33,,0.42,296.23,1.29,67.53,2022,Bhatagaon,Quarterly,1,53
2022-01-06 07:45:00,4.25,32.96,37.22,6.66,107.48,,0.53,286.36,1.28,72.99,2022,Bhatagaon,Quarterly,1,53
2022-01-06 08:00:00,3.42,27.41,30.84,5.78,107.48,,0.65,286.82,1.3,47.83,2022,Bhatagaon,Quarterly,1,53
2022-01-06 08:15:00,2.85,26.46,29.32,5.38,107.48,,0.9,13.01,1.32,37.01,2022,Bhatagaon,Quarterly,1,53
2022-01-06 08:30:00,2.29,29.92,32.21,5.71,112.04,,0.95,27.64,1.4,34.6,2022,Bhatagaon,Quarterly,1,53
2022-01-06 08:45:00,1.97,29.88,31.85,5.66,116.59,,0.87,15.76,1.49,40.68,2022,Bhatagaon,Quarterly,1,53
2022-01-06 09:00:00,1.79,30.08,31.87,5.26,116.59,,0.48,293.56,1.54,37.9,2022,Bhatagaon,Quarterly,1,53
2022-01-06 09:15:00,1.63,34.49,36.11,5.14,116.59,,1.79,320.55,1.57,39.31,2022,Bhatagaon,Quarterly,1,53
2022-01-06 09:30:00,1.53,33.27,34.8,4.95,119.72,,1.92,235.59,1.6,43.55,2022,Bhatagaon,Quarterly,1,53
