DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,WS,WD,CO,NH3,Year,Location,Frequency,is_imputed,gap_length
2022-01-06 01:15:00,3.95,14.77,18.72,15.24,106.74,42.6,1.89,36.62,0.66,46.8,2022,IGKV,Quarterly,0,0
2022-01-06 01:30:00,3.97,14.89,18.85,15.2,104.25,42.86,1.89,35.95,0.68,47.04,2022,IGKV,Quarterly,0,0
2022-01-06 01:45:00,4.02,12.34,16.36,15.08,104.25,42.86,1.87,36.6,0.65,40.22,2022,IGKV,Quarterly,0,0
2022-01-06 02:00:00,3.94,10.34,14.28,15.3,104.25,42.86,1.87,36.3,0.64,35.37,2022,IGKV,Quarterly,0,0
2022-01-06 02:15:00,3.81,10.81,14.62,15.13,59.17,23.2,1.87,36.55,0.63,32.84,2022,IGKV,Quarterly,0,0
2022-01-06 02:30:00,3.65,11.22,14.87,15.15,50.795,19.5125,1.88,36.34,0.62,31.36,2022,IGKV,Quarterly,1,3
2022-01-06 02:45:00,3.47,11.04,14.5,15.29,42.42,15.825,1.89,36.14,0.61,33.36,2022,IGKV,Quarterly,1,3
2022-01-06 03:00:00,3.35,11.29,14.64,15.4,34.045,12.1375,1.89,36.77,0.6,33.55,2022,IGKV,Quarterly,1,3
2022-01-06 03:15:00,3.23,11.19,14.42,15.05,25.67,8.45,1.88,36.72,0.59,33.5,2022,IGKV,Quarterly,0,0
2022-01-06 03:30:00,3.13,11.35,14.48,14.76,59.24,20.0,1.89,36.22,0.58,33.13,2022,IGKV,Quarterly,0,0
2022-01-06 03:45:00,3.14,11.25,14.39,14.95,59.24,20.0,1.88,36.29,0.58,32.7,2022,IGKV,Quarterly,0,0
2022-01-06 04:00:00,3.15,11.08,14.23,15.35,59.24,20.0,1.89,35.69,0.57,32.8,2022,IGKV,Quarterly,0,0
2022-01-06 04:15:00,3.18,11.24,14.42,15.55,57.29,21.28,1.88,36.3,0.57,33.98,2022,IGKV,Quarterly,0,0
2022-01-06 04:30:00,3.2,11.39,14.59,15.56,54.74,23.02,1.87,36.48,0.55,33.93,2022,IGKV,Quarterly,0,0
2022-01-06 04:45:00,3.14,11.27,14.41,15.43,54.74,23.02,1.88,36.5,0.54,33.2,2022,IGKV,Quarterly,0,0
2022-01-06 05:00:00,3.08,11.26,14.33,15.55,54.74,23.02,1.88,36.42,0.54,33.93,2022,IGKV,Quarterly,0,0
2022-01-06 05:15:00,3.05,11.24,14.29,15.51,59.48,22.85,1.89,36.07,0.53,33.88,2022,IGKV,Quarterly,0,0
2022-01-06 05:30:00,3.12,11.45,14.57,15.67,65.68,22.63,1.89,36.08,0.52,33.35,2022,IGKV,Quarterly,0,0
2022-01-06 05:45:00,3.19,11.17,14.36,15.41,65.68,22.63,1.88,36.39,0.52,34.04,2022,IGKV,Quarterly,0,0
2022-01-06 06:00:00,3.22,11.45,14.67,15.59,65.68,22.63,1.89,36.21,0.52,34.61,2022,IGKV,Quarterly,0,0
2022-01-06 06:15:00,3.21,11.87,15.08,15.05,67.06,23.61,1.9,36.39,0.51,37.32,2022,IGKV,Quarterly,0,0
2022-01-06 06:30:00,3.2,11.73,14.93,15.0,68.87,24.96,2.11,36.47,0.5,37.97,2022,IGKV,Quarterly,0,0
2022-01-06 06:45:00,3.12,11.7,14.82,15.04,68.87,24.96,2.69,37.04,0.5,38.12,2022,IGKV,Quarterly,0,0
2022-01-06 07:00:00,2.95,11.97,14.93,14.84,68.87,24.96,3.4,36.83,0.51,38.16,2022,IGKV,Quarterly,0,0
2022-01-06 07:15:00,2.82,12.4,15.22,14.9,70.03,26.75,4.3,36.8,0.51,38.39,2022,IGKV,Quarterly,0,0
2022-01-06 07:30:00,2.71,12.54,15.25,14.82,71.56,29.1,5.07,37.57,0.5,38.75,2022,IGKV,Quarterly,0,0
2022-01-06 07:45:00,2.61,12.39,15.0,14.7,71.56,29.1,5.79,37.94,0.5,38.15,2022,IGKV,Quarterly,0,0
2022-01-06 08:00:00,2.47,12.73,15.2,14.69,71.56,29.1,6.71,39.13,0.51,38.8,2022,IGKV,Quarterly,0,0
2022-01-06 08:15:00,2.3,12.64,14.95,14.47,75.53,29.57,7.61,38.72,0.51,39.38,2022,IGKV,Quarterly,0,0
2022-01-06 08:30:00,2.14,12.65,14.8,14.57,80.72,30.2,8.67,40.34,0.52,38.9,2022,IGKV,Quarterly,0,0
2022-01-06 08:45:00,1.97,12.67,14.65,14.85,80.72,30.2,12.44,41.72,0.53,39.25,2022,IGKV,Quarterly,0,0
2022-01-06 09:00:00,1.75,12.12,13.87,14.59,80.72,30.2,13.85,41.33,0.53,38.2,2022,IGKV,Quarterly,0,0
2022-01-06 09:15:00,1.54,12.39,13.93,14.91,83.35,31.93,15.01,39.86,0.54,38.02,2022,IGKV,Quarterly,0,0
2022-01-06 09:30:00,1.38,12.4,13.78,14.72,86.78,34.2,17.89,40.99,0.55,38.03,2022,IGKV,Quarterly,0,0
2022-01-06 09:45:00,1.24,12.07,13.31,14.79,86.78,34.2,19.51,41.35,0.57,37.6,2022,IGKV,Quarterly,0,0
2022-01-06 10:00:00,1.11,11.93,13.03,15.14,86.78,34.2,21.34,42.65,0.6,36.51,2022,IGKV,Quarterly,0,0
2022-01-06 10:15:00,0.99,11.88,12.88,14.91,93.37,35.35,22.27,41.38,0.63,35.66,2022,IGKV,Quarterly,0,0
2022-01-06 10:30:00,1.0,12.45,13.45,14.44,101.98,36.85,22.59,41.29,0.67,36.1,2022,IGKV,Quarterly,0,0
2022-01-06 10:45:00,1.03,12.51,13.54,14.64,101.98,36.85,22.96,42.13,0.72,35.93,2022,IGKV,Quarterly,0,0
2022-01-06 11:00:00,1.13,13.11,14.25,15.18,101.98,36.85,20.12,41.21,0.8,34.33,2022,IGKV,Quarterly,0,0
2022-01-06 11:15:00,1.21,11.27,12.48,15.77,112.31,38.82,26.44,42.92,0.82,27.31,2022,IGKV,Quarterly,0,0
2022-01-06 11:30:00,1.38,10.86,12.24,15.99,125.81,41.4,26.68,41.0,0.8,23.57,2022,IGKV,Quarterly,0,0
2022-01-06 11:45:00,1.41,10.67,12.08,15.58,125.81,41.4,28.39,40.9,0.79,21.05,2022,IGKV,Quarterly,0,0
2022-01-06 12:00:00,1.34,11.09,12.43,15.69,125.81,41.4,27.14,39.41,0.78,19.89,2022,IGKV,Quarterly,0,0
2022-01-06 12:15:00,1.28,12.47,13.75,17.11,128.6,41.7,27.49,39.63,0.78,22.73,2022,IGKV,Quarterly,0,0
2022-01-06 12:30:00,1.27,12.52,13.79,16.43,132.25,42.1,27.34,39.63,0.77,20.68,2022,IGKV,Quarterly,0,0
2022-01-06 12:45:00,1.17,12.45,13.61,19.72,132.25,42.1,27.57,40.57,0.76,20.09,2022,IGKV,Quarterly,0,0
2022-01-06 13:00:00,1.17,13.15,14.32,19.22,132.25,42.1,24.92,43.49,0.76,22.18,2022,IGKV,Quarterly,0,0
2022-01-06 13:15:00,1.24,13.43,14.67,18.4,139.01,43.66,12.99,41.62,0.75,19.77,2022,IGKV,Quarterly,0,0
