DateTime,NO,NO2,NOx,SO2,PM10,PM2.5,CO,NH3,Year,Location,Frequency,is_imputed,gap_length,Hour,Day,Month,Weekday,Hour_sin,Hour_cos,Month_sin,Month_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag6,PM2.5_lag12,PM2.5_lag24,PM2.5_lag48,PM2.5_roll_mean_3,PM2.5_roll_mean_6,PM2.5_roll_mean_12,PM2.5_roll_mean_24,PM2.5_roll_std_3,PM2.5_roll_std_6,PM2.5_roll_std_12,PM2.5_roll_std_24,PM2.5_ema_6,PM2.5_ema_12,PM2.5_diff,PM2.5_pct_change,NO_x_NO2,CO_x_NOx,NO_lag1,NO2_lag1,NOx_lag1,SO2_lag1,PM10_lag1,CO_lag1,NH3_lag1
2022-01-09 04:00:00,3.53,4.14,7.63,5.59,7.27,3.24,0.44,17.31,2022,IGKV,Hourly,0,0,4,9,1,6,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,4.46,4.46,5.88,16.1,19.53,22.09,42.86,4.933333333333336,10.466666666666667,14.545833333333333,16.39,0.8198373822501293,6.083846371060566,5.9344471417974685,4.650502544138957,9.188069295960162,12.838473863805126,0.0,0.0,14.614199999999999,3.3572,3.51,4.14,7.57,5.37,7.27,0.46,17.24
2022-01-09 05:00:00,3.6,4.16,7.71,5.54,6.64,2.53,0.43,17.18,2022,IGKV,Hourly,0,0,5,9,1,6,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,3.24,4.46,4.46,15.95,18.75,20.31,23.2,4.0533333333333355,8.323333333333334,13.188333333333333,15.604583333333332,0.7043673284123726,5.96645511729258,6.524503231989595,5.204731943284754,7.488620925685829,11.361785577065875,-1.2199999999999998,-0.27354260089686094,14.976,3.3153,3.53,4.14,7.63,5.59,7.27,0.44,17.31
2022-01-09 06:00:00,3.64,4.11,7.69,5.71,4.65,1.84,0.41,16.88,2022,IGKV,Hourly,0,0,6,9,1,6,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,2.53,3.24,4.46,15.95,17.99,17.57,20.0,3.4100000000000024,6.086666666666666,11.836666666666666,14.863750000000001,0.976165969495699,4.967364156840811,6.934790202415311,5.743367299309875,6.071872089775592,10.003049334440355,-0.7100000000000004,-0.21913580246913592,14.960400000000002,3.1529,3.6,4.16,7.71,5.54,6.64,0.43,17.18
2022-01-09 07:00:00,3.89,4.01,7.72,4.95,3.25,1.78,0.41,16.58,2022,IGKV,Hourly,0,0,7,9,1,6,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,1.84,2.53,3.24,5.88,18.97,17.02,23.02,2.5366666666666693,3.735,10.490833333333333,14.20833333333333,0.7000238091199821,1.47921262839396,7.194310199207736,6.292399602188546,4.862765778411138,8.7471955906803,-0.6899999999999997,-0.27272727272727265,15.5989,3.1651999999999996,3.64,4.11,7.69,5.71,4.65,0.41,16.88
2022-01-09 08:00:00,4.08,3.89,7.97,4.88,2.34,3.11,0.36,14.1,2022,IGKV,Hourly,0,0,8,9,1,6,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,1.78,1.84,2.53,4.46,18.97,16.89,22.85,2.0500000000000025,3.051666666666667,9.058333333333334,13.573333333333332,0.4167733196853378,1.2132339702904942,7.062685342164442,6.748749750020752,3.9819755560079555,7.675319345960254,-0.06000000000000005,-0.03260869565217394,15.8712,2.8691999999999998,3.89,4.01,7.72,4.95,3.25,0.41,16.58
2022-01-09 09:00:00,4.07,4.01,7.93,4.89,11.63,4.27,0.38,14.09,2022,IGKV,Hourly,0,0,9,9,1,6,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,3.11,1.78,1.84,4.46,17.54,16.89,24.96,2.243333333333336,2.8266666666666667,7.736666666666667,12.999166666666667,0.751154666719752,1.0075647208327791,6.500885720539575,7.034444396753297,3.732839682862825,6.9729625235048305,1.3299999999999998,0.747191011235955,16.3207,3.0134,4.08,3.89,7.97,4.88,2.34,0.36,14.1
2022-01-09 10:00:00,4.12,5.34,9.46,4.84,19.82,6.31,0.48,13.63,2022,IGKV,Hourly,0,0,10,9,1,6,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,4.27,3.11,1.78,3.24,16.1,18.06,29.1,3.053333333333336,2.795,6.6308333333333325,12.473333333333334,1.2459668267393103,0.9471377935655242,5.76915537907231,7.200670661196347,3.886314059187732,6.5571221352733176,1.1599999999999997,0.37299035369774913,22.0008,4.5408,4.07,4.01,7.93,4.89,11.63,0.38,14.09
2022-01-09 11:00:00,3.94,5.69,9.04,4.86,37.56,10.15,0.53,13.65,2022,IGKV,Hourly,0,0,11,9,1,6,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,6.31,4.27,3.11,2.53,15.95,18.06,30.2,4.563333333333335,3.3066666666666666,5.815,11.98375,1.6200411517411404,1.7361873938797143,4.941158311018341,7.2037591711308275,4.578795756562665,6.519103345231269,2.04,0.47775175644028106,22.4186,4.7912,4.12,5.34,9.46,4.84,19.82,0.48,13.63
2022-01-09 12:00:00,3.05,5.9,8.88,4.87,42.98,13.27,0.61,15.93,2022,IGKV,Hourly,0,0,12,9,1,6,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,10.15,6.31,4.27,1.84,15.95,17.76,34.2,6.910000000000003,4.576666666666667,5.331666666666666,11.654166666666667,2.9855652731101574,3.213170811934347,4.0657792126554,7.093782284610136,6.170568397544761,7.077702830580305,3.8400000000000007,0.6085578446909669,17.995,5.4168,3.94,5.69,9.04,4.86,37.56,0.53,13.65
2022-01-09 13:00:00,1.96,5.77,7.64,5.64,51.2,13.27,0.55,16.18,2022,IGKV,Hourly,0,0,13,9,1,6,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,13.27,10.15,6.31,1.78,5.88,17.16,36.85,9.910000000000002,6.4816666666666665,5.108333333333333,11.467083333333335,3.4862013711203192,4.425672453612764,3.4576104027159937,6.984112080856831,8.198977426817686,8.030363933567951,3.119999999999999,0.3073891625615763,11.309199999999999,4.202,3.05,5.9,8.88,4.87,42.98,0.61,15.93
