WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
211.78,8.23,10.472106839476222,0,3.22,1.2150782491325811,0,11.61,4.27,10.57,10.44,2022,11.24,1,2.09,0.0,7,40.42,9.3,10.421666666666667,39.29,2022-01-07 12:15:00,11.61,11.262062735953034,Quarterly,11.61,1.06,4.23,2.22,13.62,0.0,13.23,0.2205221077353405,AIIMS,11.61,4,1.2246467991473532e-16,11.415,0.8660254037844387,13.49,8.49,17.7441,0.49999999999999994,9.9358,0.91,0.94,2.734876199407747,-1.0,0.0,8.49,12,11.17
214.96,8.49,10.896398094941418,0,3.86,1.4007170782614444,0,12.15,4.23,10.47,10.57,2022,9.54,1,1.93,0.13953488372093031,7,42.68,8.83,10.749166666666666,40.42,2022-01-07 12:30:00,11.61,11.824330525680738,Quarterly,11.61,1.39,4.27,2.09,13.49,1.620000000000001,16.48,0.7443229585782689,AIIMS,13.23,4,1.2246467991473532e-16,11.758333333333333,0.8660254037844387,13.42,8.907083333333334,16.4822,0.49999999999999994,10.2606,0.94,0.98,2.658450806090985,-1.0,0.9353074360871699,8.54,12,11.17
220.12,8.54,11.75541377264274,0,3.86,2.041934614451919,0,13.773333333333333,4.13,10.72,10.47,2022,9.54,1,1.92,0.2456538170823885,7,42.68,8.83,11.386666666666665,42.68,2022-01-07 12:45:00,13.23,13.15452180405767,Quarterly,11.61,1.8,4.23,1.93,13.42,3.25,16.48,2.00093644743323,AIIMS,16.48,4,1.2246467991473532e-16,12.643333333333333,0.8660254037844387,4.61,9.432916666666666,16.896,0.49999999999999994,10.184,0.98,0.95,2.8574030154589036,-1.0,2.4800470425645704,8.8,12,11.32
207.74,8.8,12.482273192236164,0,3.86,2.343134878876159,0,15.396666666666667,3.96,11.46,10.72,2022,9.54,1,2.0,0.0,7,42.68,8.83,12.024166666666666,42.68,2022-01-07 13:00:00,16.48,14.104658431469764,Quarterly,13.23,1.31,4.13,1.92,4.61,0.0,16.48,2.389557839154918,AIIMS,16.48,4,-0.2588190451025208,13.503333333333332,0.8660254037844387,11.99,9.95875,18.92,0.49999999999999994,11.345400000000001,0.95,0.99,2.94704909520782,-0.9659258262890683,1.8763883748662626,9.46,13,11.61
221.01,9.46,13.097308085738295,0,5.04,2.4340009461913796,0,16.48,4.14,12.59,11.46,2022,9.01,1,2.28,0.0,7,42.56,9.61,12.661666666666667,42.68,2022-01-07 13:15:00,16.48,14.78332745104983,Quarterly,16.48,1.37,3.96,2.0,11.99,0.0,16.69,2.444297445074976,AIIMS,16.48,4,-0.2588190451025208,14.314999999999998,0.8660254037844387,8.2,10.484583333333333,23.5068,0.49999999999999994,12.59,0.99,1.0,2.937413797686767,-0.9659258262890683,0.0,10.31,13,11.61
224.52,10.31,13.650029918701634,0,7.39,2.4845992299228565,0,16.55,4.04,11.26,12.59,2022,7.93,1,2.3,0.012742718446601993,7,42.34,11.17,13.251666666666667,42.56,2022-01-07 13:30:00,16.48,15.328091036464166,Quarterly,16.48,1.13,4.14,2.28,8.2,0.21000000000000085,17.12,2.1861145136215363,AIIMS,16.69,4,-0.2588190451025208,15.161666666666667,0.8660254037844387,6.76,10.969999999999999,20.608,0.49999999999999994,11.26,1.0,1.0,2.961064732123583,-0.9659258262890683,0.12124355652945673,8.96,13,11.61
221.15,8.96,14.183871469670613,0,7.39,2.621346375086995,0,16.763333333333332,4.24,10.99,11.26,2022,7.93,1,2.05,0.025763930497303755,7,42.34,11.17,13.747500000000002,42.34,2022-01-07 13:45:00,16.69,15.840065026045833,Quarterly,16.48,1.57,4.04,2.3,6.76,0.4299999999999997,17.12,1.4181819347319524,AIIMS,17.12,4,-0.2588190451025208,16.08,0.8660254037844387,9.12,11.375416666666666,18.326999999999998,0.49999999999999994,11.0999,1.0,1.01,3.1118510906122983,-0.9659258262890683,0.3262412195496485,8.94,13,13.23
209.36,8.94,14.63558355125975,0,7.39,2.652032953769371,0,16.97666666666667,4.01,10.06,10.99,2022,7.93,1,1.92,0.0,7,42.34,11.17,14.243333333333332,42.34,2022-01-07 14:00:00,17.12,16.205760732889882,Quarterly,16.69,1.1,4.24,2.05,9.12,0.0,17.12,0.31409658811698876,AIIMS,17.12,4,-0.4999999999999997,16.728333333333335,0.8660254037844387,8.53,11.780833333333334,15.6288,0.49999999999999994,10.7642,1.01,1.07,3.2025477855670794,-0.8660254037844388,0.24826061575134822,8.14,14,16.48
225.38,8.14,15.017801466450557,0,8.1,2.5804455511450235,0,17.12,4.59,12.17,10.06,2022,7.38,1,2.17,0.0,7,42.02,11.32,14.739166666666668,42.34,2022-01-07 14:15:00,17.12,16.4669719520642,Quarterly,17.12,1.27,4.01,1.92,8.53,0.0,18.25,0.32148094811367434,AIIMS,17.12,4,-0.4999999999999997,16.835,0.8660254037844387,2.53,12.18625,21.7217,0.49999999999999994,10.2228,1.07,0.84,3.238207787328211,-0.8660254037844388,0.0,10.01,14,16.48
223.97,10.01,15.515062779304317,0,9.53,2.520441279304903,0,17.496666666666666,4.81,13.05,12.17,2022,6.27,1,2.14,0.0660046728971962,7,41.39,11.61,15.316666666666668,42.02,2022-01-07 14:30:00,17.12,16.976408537188714,Quarterly,17.12,1.46,4.59,2.17,2.53,1.129999999999999,20.49,0.6116861940571044,AIIMS,18.25,4,-0.4999999999999997,17.13,0.8660254037844387,3.64,12.609166666666667,23.3688,0.49999999999999994,9.787500000000001,0.84,0.75,3.3424592829189472,-0.8660254037844388,0.6524058041841961,10.92,14,16.48
