WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
174.3,20.16,14.095058194004869,0,31.95,7.656846609407819,0,19.463333333333335,15.06,14.68,23.87,2022,59.52,1,3.59,0.15993359158826786,9,33.89,2.37,9.735,60.76,2022-01-09 17:00:00,18.07,16.418975357363852,Hourly,19.36,0.93,16.76,3.71,4.87,2.8900000000000006,16.75,4.441097461964417,Bhatagaon,20.96,6,-0.9659258262890683,16.433333333333334,0.8660254037844387,3.19,14.96,46.0597,0.49999999999999994,6.606,0.84,0.45,11.463292265541222,-0.25881904510252063,1.4477683976848328,12.83,17,8.98
197.01,12.83,14.50351077954258,0,30.72,7.523510222004492,0,18.593333333333334,13.9,11.31,14.68,2022,59.52,1,1.41,-0.20085877862595422,9,40.22,1.93,10.933333333333335,33.89,2022-01-09 18:00:00,20.96,16.513553826688465,Hourly,18.07,1.1,15.06,3.59,3.19,-4.210000000000001,15.57,2.5730403546518206,Bhatagaon,16.75,6,-1.0,17.728333333333335,0.8660254037844387,2.78,14.326666666666666,13.959,0.49999999999999994,4.524,0.45,0.4,10.889324515588509,-1.8369701987210297e-16,2.15323787198139,9.9,18,13.38
216.46,9.9,14.667586044228338,0,28.38,7.055428599828132,0,17.76,19.59,17.78,11.31,2022,57.64,1,4.01,-0.07044776119402983,9,59.18,2.13,12.07,40.22,2022-01-09 19:00:00,16.75,16.24396701906319,Hourly,20.96,1.24,13.9,1.41,2.78,-1.1799999999999997,18.37,1.9001964810689338,Bhatagaon,15.57,6,-0.9659258262890684,18.093333333333334,0.8660254037844387,2.57,13.695416666666667,55.217699999999994,0.49999999999999994,9.4234,0.4,0.53,10.322034253149338,0.2588190451025203,2.833390195508139,13.77,19,17.85
191.41,13.77,15.237188191270134,0,25.23,6.512073169866644,0,16.896666666666665,30.02,16.7,17.78,2022,44.69,1,3.7,0.17983301220295445,9,41.59,3.18,13.423333333333334,59.18,2022-01-09 20:00:00,15.57,16.851405013616564,Hourly,16.75,1.21,19.59,4.01,2.57,2.8000000000000007,15.8,1.8987364219396252,Bhatagaon,18.37,6,-0.8660254037844386,18.180000000000003,0.8660254037844387,2.41,13.278333333333334,51.467000000000006,0.49999999999999994,10.855,0.53,0.65,9.896333825634906,0.5000000000000001,1.4057500963311453,13.91,20,19.36
242.0,13.91,15.323774623382421,0,26.92,5.672330769942493,0,16.580000000000002,39.72,16.08,16.7,2022,44.37,1,3.36,-0.13990201415351117,9,36.62,3.27,14.475,41.59,2022-01-09 21:00:00,18.37,16.55100358115469,Hourly,15.57,0.85,30.02,3.7,2.41,-2.5700000000000003,12.86,2.0092652056577216,Bhatagaon,15.8,6,-0.7071067811865477,17.586666666666666,0.8660254037844387,2.12,12.885416666666666,43.68,0.49999999999999994,9.969599999999998,0.65,0.62,9.583436788981583,0.7071067811865474,1.5544452386628826,13.0,21,18.07
243.33,13.0,14.944732373631279,0,28.71,4.5057628923884,0,15.676666666666668,42.43,15.37,16.08,2022,47.51,1,3.51,-0.18607594936708868,9,42.73,5.34,15.274166666666668,36.62,2022-01-09 22:00:00,15.8,15.496431129396207,Hourly,18.37,0.79,39.72,3.36,2.12,-2.9400000000000013,11.51,2.7484353124399314,Bhatagaon,12.86,6,-0.5000000000000004,16.718333333333334,0.8660254037844387,1.14,12.299583333333333,41.9445,0.49999999999999994,9.3757,0.62,0.61,9.106056980487432,0.8660254037844384,2.7570697004854776,11.95,22,20.96
253.64,11.95,14.416312008457236,0,27.53,3.511406952758229,0,13.39,34.91,15.7,15.37,2022,50.71,1,3.6,-0.10497667185069982,9,45.68,8.98,15.788333333333334,42.73,2022-01-09 23:00:00,12.86,14.357450806711576,Hourly,15.8,0.6,42.43,3.51,1.14,-1.3499999999999996,14.09,2.5306415523868266,Bhatagaon,11.51,6,-0.25881904510252157,15.143333333333333,0.8660254037844387,1.11,11.582916666666668,43.56,0.49999999999999994,9.42,0.61,0.6,8.40848767830647,0.9659258262890681,2.193558752347849,12.1,23,16.75
272.88,12.1,14.366110161002277,0,29.11,2.8601444920058774,0,12.82,5.24,28.63,15.7,2022,61.47,1,3.25,0.22415291051259775,10,32.63,13.38,16.214166666666667,45.68,2022-01-10 01:00:00,11.51,14.281036290508268,Hourly,12.86,0.21,34.91,3.6,1.11,2.58,14.03,2.4236171314793404,Bhatagaon,14.09,0,0.25881904510252074,14.700000000000001,0.8660254037844387,6.1,11.022916666666667,82.485,0.49999999999999994,16.8917,0.6,0.59,7.719571107238406,0.9659258262890683,1.2904650324599551,25.38,1,15.57
304.35,25.38,14.314400905463465,1,4.93,2.807256290185833,1,13.209999999999999,2.665,26.63,28.63,2022,68.73,1,3.5,-0.004258339247693435,10,30.83,17.85,16.268333333333334,32.63,2022-01-10 02:00:00,14.09,14.209311636077334,Hourly,11.51,0.2,5.24,3.25,6.1,-0.0600000000000005,14.03,2.394424078284133,Bhatagaon,14.03,0,0.49999999999999994,14.443333333333333,0.8660254037844387,6.18,10.394583333333333,80.99000000000001,0.49999999999999994,16.7769,0.59,0.63,6.734194363981775,0.8660254037844387,1.4725488107366271,23.14,2,18.37
307.16,23.14,14.270646920007547,0,3.64,2.828105694308801,0,14.049999999999999,0.09,35.67,26.63,2022,46.34,1,5.62,0.0,10,22.98,19.36,15.950000000000001,30.83,2022-01-10 03:00:00,14.03,14.15807974005524,Hourly,14.09,0.33,2.665,3.5,6.18,0.0,11.04,1.433820072394078,Bhatagaon,14.03,0,0.7071067811865476,13.719999999999999,0.8660254037844387,5.51,10.77375,168.881,0.49999999999999994,20.3319,0.63,0.57,6.669006061462677,0.7071067811865476,0.03464101617758976,30.05,3,15.8
