WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
179.95,12.17,32.46966740201632,190,46.01,28.88600898621191,1,13.39,23.74,12.19,12.59,2022,39.12,1,0.36,-0.2261055634807418,7,,67.03,42.00333333333334,,2022-01-07 01:45:00,14.02,20.913057878534445,Quarterly,15.3,3.2,24.56,0.42,5.35,-3.17,10.85,1.8324591855404258,Bhatagaon,10.85,4,0.25881904510252074,14.406666666666666,0.8660254037844387,4.96,47.418333333333344,4.2588,0.49999999999999994,40.1051,3.27,3.29,21.15862999318259,0.9659258262890683,2.2909168470284795,11.83,1,15.67
172.05,11.83,29.14356472478304,190,47.51,29.013471426949653,1,11.906666666666666,23.2,11.91,12.19,2022,40.7475,1,0.33,0.0,7,,68.73,37.321666666666665,,2022-01-07 02:00:00,10.85,18.03789848466746,Quarterly,14.02,3.59,23.74,0.36,4.96,0.0,10.85,2.1895813907392365,Bhatagaon,10.85,4,0.49999999999999994,13.603333333333333,0.8660254037844387,4.83,45.95333333333334,3.8214,0.49999999999999994,39.1839,3.29,3.29,22.438869162133873,0.8660254037844387,1.830200353330803,11.58,2,15.3
198.28,11.58,26.329170151739493,190,47.51,28.1145190033171,1,10.85,22.58,11.74,11.91,2022,42.375,1,0.36,0.0,7,,68.73,32.498333333333335,,2022-01-07 02:15:00,10.85,15.9842132033339,Quarterly,10.85,2.84,23.2,0.33,4.83,0.0,10.31,2.2526909833955595,Bhatagaon,10.85,4,0.49999999999999994,12.861666666666666,0.8660254037844387,5.13,44.42583333333334,4.0968,0.49999999999999994,38.2724,3.29,3.26,23.548643626898492,0.8660254037844387,0.0,11.38,2,15.3
207.55,11.38,23.86468243608726,190,47.51,26.26762334821397,1,10.67,20.67,11.75,11.74,2022,44.0025,1,0.46,-0.04976958525345614,7,,68.73,27.63,,2022-01-07 02:30:00,10.85,14.363009430952786,Quarterly,10.85,2.39,22.58,0.36,5.13,-0.5399999999999991,8.99,2.087515269406449,Bhatagaon,10.31,4,0.49999999999999994,12.03,0.8660254037844387,5.33,42.87583333333333,5.1934,0.49999999999999994,37.13,3.26,3.16,24.54021206043287,0.8660254037844387,0.3117691453605108,11.29,2,15.3
208.7,11.29,21.576269753612298,190,49.96,23.258825043932063,1,10.049999999999999,18.52,11.91,11.75,2022,45.63,1,0.59,-0.12803103782735212,7,,71.73,22.651666666666667,,2022-01-07 02:45:00,10.31,12.82786387925199,Quarterly,10.85,2.06,20.67,0.46,5.33,-1.3200000000000003,8.99,1.6553720629127047,Bhatagaon,8.99,4,0.49999999999999994,10.978333333333333,0.8660254037844387,5.59,41.270833333333336,6.6788,0.49999999999999994,36.921,3.16,3.1,25.46613760452798,0.8660254037844387,0.9568698971118298,11.32,2,14.02
205.43,11.32,19.63992056074887,190,50.71,17.582623308944576,1,9.43,16.85,12.13,11.91,2022,59.52,1,0.71,0.0,7,,72.65,17.423333333333336,,2022-01-07 03:00:00,8.99,11.73133134232285,Quarterly,10.31,2.44,18.52,0.59,5.59,0.0,8.99,0.9150081966874893,Bhatagaon,8.99,4,0.7071067811865476,10.139999999999999,0.8660254037844387,5.82,39.563750000000006,8.1082,0.49999999999999994,36.8752,3.1,3.04,26.220359797965838,0.7071067811865476,0.7621023553295087,11.42,3,10.85
206.4,11.42,18.001471243710583,190,50.71,2.764304394938668,1,8.99,15.66,12.35,12.13,2022,59.52,1,0.84,0.0,7,,15.67,12.118333333333334,,2022-01-07 03:15:00,8.99,10.948093815944894,Quarterly,8.99,2.16,16.85,0.71,5.82,0.0,8.25,0.941063228484317,Bhatagaon,8.99,4,0.7071067811865476,9.83,0.8660254037844387,6.29,37.82541666666667,9.6684,0.49999999999999994,36.803,3.04,2.98,26.82524702737536,0.7071067811865476,0.0,11.51,3,10.85
7.71,11.51,16.501244898524337,190,50.71,2.7272496968721676,1,8.743333333333334,14.84,12.54,12.35,2022,59.52,1,1.0,-0.08231368186874306,7,,15.3,11.5,,2022-01-07 03:30:00,8.99,10.177209868532067,Quarterly,8.99,0.26,15.66,0.84,6.29,-0.7400000000000002,6.43,0.9754315284385888,Bhatagaon,8.25,4,0.7071067811865476,9.396666666666667,0.8660254037844387,5.98,36.05625,11.54,0.49999999999999994,36.993,2.98,2.95,27.333872251889403,0.7071067811865476,0.4272391991988747,11.54,3,10.85
76.2,11.54,14.95182260644367,190,58.96,2.8046275342831164,1,7.890000000000001,14.05,12.78,12.54,2022,58.08,1,1.06,-0.22060606060606064,7,,15.3,10.760833333333332,,2022-01-07 03:45:00,8.25,9.106578477522906,Quarterly,8.99,0.79,14.84,1.0,5.98,-1.8200000000000003,6.43,1.2798593672765217,Bhatagaon,6.43,4,0.7071067811865476,8.66,0.8660254037844387,6.31,34.21125,12.423200000000001,0.49999999999999994,37.1898,2.95,2.91,27.792334619224732,0.7071067811865476,1.3174217244294772,11.72,3,10.31
22.61,11.72,13.640772974683106,190,61.47,2.6649401607924363,1,7.036666666666666,13.27,13.15,12.78,2022,57.64,1,1.11,0.0,7,,15.3,10.021666666666667,,2022-01-07 04:00:00,6.43,8.341841769659219,Quarterly,8.25,1.7,14.05,1.06,6.31,0.0,6.43,1.2594866679215768,Bhatagaon,6.43,4,0.8660254037844386,8.013333333333334,0.8660254037844387,3.77,32.0225,13.3533,0.49999999999999994,37.4775,2.91,2.85,27.826981784185516,0.5000000000000001,1.0507774899245057,12.03,4,8.99
33.72,12.03,12.53142328627032,190,61.47,2.268436085219417,1,6.43,0.0,13.38,13.15,2022,57.64,1,1.17,0.0,7,,14.02,9.282499999999999,,2022-01-07 04:15:00,6.43,7.7956012640423,Quarterly,6.43,1.2,13.27,1.11,3.77,0.0,7.45,1.2955565084828389,Bhatagaon,6.43,4,0.8660254037844386,7.586666666666667,0.8660254037844387,7.4,29.729166666666668,14.2857,0.49999999999999994,37.9992,2.85,2.84,27.561344057064513,0.5000000000000001,0.0,12.21,4,8.99
220.9,12.21,11.749665857613346,190,61.47,1.7560518733273456,1,6.77,14.53,13.5,13.38,2022,57.64,1,1.11,0.15863141524105762,7,,10.85,8.735,,2022-01-07 04:30:00,6.43,7.6968580457445,Quarterly,6.43,0.36,0.0,1.17,7.4,1.0200000000000005,8.96,1.099672678575587,Bhatagaon,7.45,4,0.8660254037844386,7.330000000000001,0.8660254037844387,6.92,27.478333333333335,13.752900000000002,0.49999999999999994,38.879999999999995,2.84,2.88,27.05769000498377,0.5000000000000001,0.5888972745723166,12.39,4,8.99
328.22,12.39,11.3204864949036,190,67.03,1.6292950232310794,1,7.613333333333333,16.36,13.85,13.5,2022,47.71,1,1.14,0.20268456375838934,7,,10.85,8.5775,,2022-01-07 04:45:00,7.45,8.057755746960357,Quarterly,6.43,1.23,14.53,1.11,6.92,1.5100000000000007,8.96,1.0906465972099337,Bhatagaon,8.96,4,0.8660254037844386,7.325,0.8660254037844387,7.12,25.29041666666667,14.4894,0.49999999999999994,40.3035,2.88,2.91,26.30203769245577,0.5000000000000001,1.2728838648250909,12.71,4,8.25
325.25,12.71,10.957334726456892,190,68.73,1.4735547619148466,1,8.456666666666667,18.71,14.73,13.85,2022,44.69,1,1.5,0.0,7,,10.85,8.42,,2022-01-07 05:00:00,8.96,8.315539819257397,Quarterly,7.45,1.32,16.36,1.14,7.12,0.0,8.96,1.2394461128553598,Bhatagaon,8.96,4,0.9659258262890683,7.4433333333333325,0.8660254037844387,6.98,22.870833333333334,19.845,0.49999999999999994,43.453500000000005,2.91,2.95,24.930616573876087,0.25881904510252074,0.8717989064756172,13.23,5,6.43
323.47,13.23,10.650052460848139,190,68.73,1.2782809834795903,1,8.96,20.62,15.58,14.73,2022,44.69,1,1.79,0.0,7,,10.31,8.262500000000001,,2022-01-07 05:15:00,8.96,8.49967129946957,Quarterly,8.96,2.64,18.71,1.5,6.98,0.0,9.06,1.2560055732382511,Bhatagaon,8.96,4,0.9659258262890683,7.864999999999999,0.8660254037844387,6.78,20.38041666666667,24.684099999999997,0.49999999999999994,46.5842,2.95,2.99,23.065988226441135,0.25881904510252074,0.0,13.79,5,6.43
346.7,13.79,10.40542900533304,190,68.73,1.1396796466410934,1,8.993333333333334,21.69,16.59,15.58,2022,44.69,1,2.17,0.011160714285714244,7,,8.99,8.158333333333333,,2022-01-07 05:30:00,8.96,8.659765213906836,Quarterly,8.96,1.37,20.62,1.79,6.78,0.09999999999999964,9.31,1.1048740501397278,Bhatagaon,9.06,4,0.9659258262890683,8.303333333333333,0.8660254037844387,6.87,17.894166666666667,31.2914,0.49999999999999994,50.1018,2.99,3.02,20.724938541193172,0.25881904510252074,0.05773502690824884,14.42,5,6.43
323.1,14.42,10.236901466051034,190,71.73,1.1643843476658304,1,9.110000000000001,22.24,17.57,16.59,2022,44.45,1,2.45,0.02759381898454746,7,,8.99,8.185,,2022-01-07 05:45:00,9.06,8.845546581362026,Quarterly,8.96,2.46,21.69,2.17,6.87,0.25,9.31,0.6671331701183133,Bhatagaon,9.31,4,0.9659258262890683,8.783333333333333,0.8660254037844387,6.87,15.418333333333335,37.044000000000004,0.49999999999999994,53.7642,3.02,3.06,17.71921424959896,0.25881904510252074,0.1802775637697766,15.12,5,7.45
348.95,15.12,10.09430124050472,190,72.65,1.1879228114902416,1,9.226666666666667,22.4,18.29,17.57,2022,44.37,1,2.68,0.0,7,,8.99,8.211666666666666,,2022-01-07 06:00:00,9.31,8.978247558115733,Quarterly,9.06,1.97,22.24,2.45,6.87,0.0,9.31,0.17224014245255054,Bhatagaon,9.31,4,1.0,9.093333333333334,0.8660254037844387,6.58,12.817500000000003,41.808,0.49999999999999994,56.3332,3.06,3.08,13.063867610953666,6.123233995736766e-17,0.1443375672931414,15.6,6,8.96
16.34,15.6,9.973639511196302,190,15.67,1.2103630810120833,1,9.31,22.44,19.52,18.29,2022,44.37,1,3.17,0.0,7,,8.25,8.238333333333333,,2022-01-07 06:15:00,9.31,9.073033970082665,Quarterly,9.31,1.32,22.4,2.68,6.58,0.0,8.61,0.1772474729638429,Bhatagaon,9.31,4,1.0,9.151666666666669,0.8660254037844387,6.48,10.178333333333333,51.8295,0.49999999999999994,60.70719999999999,3.08,3.11,2.877924473533838,6.123233995736766e-17,0.0,16.35,6,8.96
