WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
253.44,4.14,12.838473863805126,0,22.09,5.9344471417974685,0,4.933333333333336,17.31,7.63,7.57,2022,42.86,1,3.53,0.0,9,7.27,19.53,14.545833333333333,7.27,2022-01-09 04:00:00,4.46,9.188069295960162,Hourly,5.88,0.15,17.24,3.51,5.37,0.0,3.24,6.083846371060566,IGKV,4.46,6,0.8660254037844386,10.466666666666667,0.8660254037844387,5.59,16.39,14.614199999999999,0.49999999999999994,3.3572,0.46,0.44,4.650502544138957,0.5000000000000001,0.8198373822501293,4.14,4,16.1
263.12,4.14,11.361785577065875,0,20.31,6.524503231989595,0,4.0533333333333355,17.18,7.71,7.63,2022,23.2,1,3.6,-0.27354260089686094,9,6.64,18.75,13.188333333333333,7.27,2022-01-09 05:00:00,4.46,7.488620925685829,Hourly,4.46,0.35,17.31,3.53,5.59,-1.2199999999999998,2.53,5.96645511729258,IGKV,3.24,6,0.9659258262890683,8.323333333333334,0.8660254037844387,5.54,15.604583333333332,14.976,0.49999999999999994,3.3153,0.44,0.43,5.204731943284754,0.25881904510252074,0.7043673284123726,4.16,5,15.95
259.4,4.16,10.003049334440355,0,17.57,6.934790202415311,0,3.4100000000000024,16.88,7.69,7.71,2022,20.0,1,3.64,-0.21913580246913592,9,4.65,17.99,11.836666666666666,6.64,2022-01-09 06:00:00,3.24,6.071872089775592,Hourly,4.46,0.14,17.18,3.6,5.54,-0.7100000000000004,1.84,4.967364156840811,IGKV,2.53,6,1.0,6.086666666666666,0.8660254037844387,5.71,14.863750000000001,14.960400000000002,0.49999999999999994,3.1529,0.43,0.41,5.743367299309875,6.123233995736766e-17,0.976165969495699,4.11,6,15.95
234.82,4.11,8.7471955906803,0,17.02,7.194310199207736,0,2.5366666666666693,16.58,7.72,7.69,2022,23.02,1,3.89,-0.27272727272727265,9,3.25,18.97,10.490833333333333,4.65,2022-01-09 07:00:00,2.53,4.862765778411138,Hourly,3.24,0.3,16.88,3.64,5.71,-0.6899999999999997,1.78,1.47921262839396,IGKV,1.84,6,0.9659258262890683,3.735,0.8660254037844387,4.95,14.20833333333333,15.5989,0.49999999999999994,3.1651999999999996,0.41,0.41,6.292399602188546,-0.25881904510252063,0.7000238091199821,4.01,7,5.88
265.4,4.01,7.675319345960254,0,16.89,7.062685342164442,0,2.0500000000000025,14.1,7.97,7.72,2022,22.85,1,4.08,-0.03260869565217394,9,2.34,18.97,9.058333333333334,3.25,2022-01-09 08:00:00,1.84,3.9819755560079555,Hourly,2.53,0.61,16.58,3.89,4.95,-0.06000000000000005,3.11,1.2132339702904942,IGKV,1.78,6,0.8660254037844387,3.051666666666667,0.8660254037844387,4.88,13.573333333333332,15.8712,0.49999999999999994,2.8691999999999998,0.41,0.36,6.748749750020752,-0.4999999999999998,0.4167733196853378,3.89,8,4.46
259.16,3.89,6.9729625235048305,0,16.89,6.500885720539575,0,2.243333333333336,14.09,7.93,7.97,2022,24.96,1,4.07,0.747191011235955,9,11.63,17.54,7.736666666666667,2.34,2022-01-09 09:00:00,1.78,3.732839682862825,Hourly,1.84,0.55,14.1,4.08,4.88,1.3299999999999998,4.27,1.0075647208327791,IGKV,3.11,6,0.7071067811865476,2.8266666666666667,0.8660254037844387,4.89,12.999166666666667,16.3207,0.49999999999999994,3.0134,0.36,0.38,7.034444396753297,-0.7071067811865475,0.751154666719752,4.01,9,4.46
267.17,4.01,6.5571221352733176,0,18.06,5.76915537907231,0,3.053333333333336,13.63,9.46,7.93,2022,29.1,1,4.12,0.37299035369774913,9,19.82,16.1,6.6308333333333325,11.63,2022-01-09 10:00:00,3.11,3.886314059187732,Hourly,1.78,0.73,14.09,4.07,4.89,1.1599999999999997,6.31,0.9471377935655242,IGKV,4.27,6,0.49999999999999994,2.795,0.8660254037844387,4.84,12.473333333333334,22.0008,0.49999999999999994,4.5408,0.38,0.48,7.200670661196347,-0.8660254037844387,1.2459668267393103,5.34,10,3.24
323.96,5.34,6.519103345231269,0,18.06,4.941158311018341,0,4.563333333333335,13.65,9.04,9.46,2022,30.2,1,3.94,0.47775175644028106,9,37.56,15.95,5.815,19.82,2022-01-09 11:00:00,4.27,4.578795756562665,Hourly,3.11,0.43,13.63,4.12,4.84,2.04,10.15,1.7361873938797143,IGKV,6.31,6,0.258819045102521,3.3066666666666666,0.8660254037844387,4.86,11.98375,22.4186,0.49999999999999994,4.7912,0.48,0.53,7.2037591711308275,-0.9659258262890682,1.6200411517411404,5.69,11,2.53
325.0,5.69,7.077702830580305,0,17.76,4.0657792126554,0,6.910000000000003,15.93,8.88,9.04,2022,34.2,1,3.05,0.6085578446909669,9,42.98,15.95,5.331666666666666,37.56,2022-01-09 12:00:00,6.31,6.170568397544761,Hourly,4.27,0.41,13.65,3.94,4.86,3.8400000000000007,13.27,3.213170811934347,IGKV,10.15,6,1.2246467991473532e-16,4.576666666666667,0.8660254037844387,4.87,11.654166666666667,17.995,0.49999999999999994,5.4168,0.53,0.61,7.093782284610136,-1.0,2.9855652731101574,5.9,12,1.84
199.42,5.9,8.030363933567951,0,17.16,3.4576104027159937,0,9.910000000000002,16.18,7.64,8.88,2022,36.85,1,1.96,0.3073891625615763,9,51.2,5.88,5.108333333333333,42.98,2022-01-09 13:00:00,10.15,8.198977426817686,Hourly,6.31,0.3,15.93,3.05,4.87,3.119999999999999,13.27,4.425672453612764,IGKV,13.27,6,-0.2588190451025208,6.4816666666666665,0.8660254037844387,5.64,11.467083333333335,11.309199999999999,0.49999999999999994,4.202,0.61,0.55,6.984112080856831,-0.9659258262890683,3.4862013711203192,5.77,13,1.78
