WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
41.62,13.15,39.54065615030802,0,26.75,2.5935561172515613,0,42.1,19.77,14.67,14.32,2022,42.6,1,1.24,0.0,6,139.01,35.35,39.74333333333333,132.25,2022-01-06 13:15:00,42.1,41.41459498255051,Quarterly,42.1,12.99,22.18,1.17,19.22,0.0,43.66,0.34641016151329856,IGKV,42.1,3,-0.2588190451025208,41.800000000000004,0.8660254037844387,18.4,35.236250000000005,16.6532,0.49999999999999994,11.0025,0.76,0.75,5.2132154915051885,-0.9659258262890683,0.0,13.43,13,41.4
42.3,13.43,40.17440135795293,0,29.1,2.4172879556655413,0,42.620000000000005,21.64,15.1,14.67,2022,42.86,1,1.24,0.03705463182897851,6,147.86,36.85,40.435833333333335,139.01,2022-01-06 13:30:00,42.1,42.056139273250366,Quarterly,42.1,14.01,19.77,1.24,18.4,1.5599999999999952,45.69,0.7808115436302905,IGKV,43.66,3,-0.2588190451025208,42.17666666666667,0.8660254037844387,15.98,35.94083333333334,17.1864,0.49999999999999994,11.174,0.75,0.74,5.158841221982251,-0.9659258262890683,0.9006664199357449,13.86,13,41.4
41.54,13.86,41.02295499519094,0,29.1,2.567489488338147,0,43.81666666666666,21.27,15.4,15.1,2022,42.86,1,1.28,0.046495648190563475,6,147.86,36.85,41.17250000000001,147.86,2022-01-06 13:45:00,43.66,43.09438519517883,Quarterly,42.1,14.86,21.64,1.24,15.98,2.030000000000001,45.69,1.5310965569376351,IGKV,45.69,3,-0.2588190451025208,42.89166666666667,0.8660254037844387,16.16,36.632083333333334,18.0736,0.49999999999999994,11.241999999999999,0.74,0.73,5.31157552911087,-0.9659258262890683,1.8001203663458765,14.12,13,41.7
33.37,14.12,41.740961919007724,0,29.1,2.481269683533781,0,45.01333333333333,24.04,15.66,15.4,2022,42.86,1,1.27,0.0,6,147.86,36.85,41.909166666666664,147.86,2022-01-06 14:00:00,45.69,43.835989425127735,Quarterly,43.66,3.9,21.27,1.28,16.16,0.0,45.69,1.7594620389955131,IGKV,45.69,3,-0.4999999999999997,43.55666666666667,0.8660254037844387,15.22,37.32333333333333,18.2753,0.49999999999999994,11.2752,0.73,0.72,5.367944037376503,-0.8660254037844388,1.172021046454894,14.39,14,42.1
53.62,14.39,42.348506239160386,0,29.57,2.1301107881273547,0,45.69,23.33,15.98,15.66,2022,23.2,1,1.38,0.0,6,156.47,38.82,42.645833333333336,147.86,2022-01-06 14:15:00,45.69,44.365706732234095,Quarterly,45.69,1.44,24.04,1.27,15.22,0.0,45.83,1.775373200203145,IGKV,45.69,3,-0.4999999999999997,44.154999999999994,0.8660254037844387,14.23,38.014583333333334,20.148,0.49999999999999994,11.186,0.72,0.7,5.331004456431538,-0.8660254037844388,0.0,14.6,14,42.1
33.0,14.6,42.884120663904945,0,30.2,1.9380871544338178,0,45.73666666666667,23.99,15.91,15.98,2022,19.5125,1,1.42,0.0030641278179032736,6,167.73,41.4,43.23,156.47,2022-01-06 14:30:00,45.69,44.78407623731007,Quarterly,45.69,1.43,23.33,1.38,14.23,0.14000000000000057,46.01,1.5507116645805574,IGKV,45.83,3,-0.4999999999999997,44.776666666666664,0.8660254037844387,14.17,38.692083333333336,20.5758,0.49999999999999994,10.9779,0.7,0.69,5.243648728962858,-0.8660254037844388,0.0808290376858804,14.49,14,42.1
36.85,14.49,43.365025177150336,0,30.2,1.9983286577142336,0,45.843333333333334,24.79,15.32,15.91,2022,15.825,1,1.36,0.003927558367881294,6,167.73,41.4,43.61416666666667,167.73,2022-01-06 14:45:00,45.83,45.13434016950719,Quarterly,45.69,0.61,23.99,1.42,14.17,0.17999999999999972,46.01,0.8754522640705137,IGKV,46.01,3,-0.4999999999999997,45.428333333333335,0.8660254037844387,15.78,39.350833333333334,18.9856,0.49999999999999994,10.2644,0.69,0.67,5.122101230402708,-0.8660254037844388,0.16041612553987572,13.96,14,43.66
34.8,13.96,43.77194438066567,0,30.2,1.976980403330051,0,45.949999999999996,24.97,15.05,15.32,2022,12.1375,1,1.36,0.0,6,167.73,41.4,43.998333333333335,167.73,2022-01-06 15:00:00,46.01,45.384528692505135,Quarterly,45.83,1.78,24.79,1.36,15.78,0.0,46.01,0.15684387141202175,IGKV,46.01,3,-0.7071067811865471,45.81999999999999,0.8660254037844387,15.24,40.00958333333333,18.6184,0.49999999999999994,9.933000000000002,0.67,0.66,4.906154501516827,-0.7071067811865479,0.10392304845360768,13.69,15,45.69
23.64,13.69,44.116260629794034,0,31.93,1.8712520115977487,0,46.01,23.77,15.55,15.05,2022,8.45,1,1.72,0.0,6,171.47,41.7,44.3825,167.73,2022-01-06 15:15:00,46.01,45.56323478036081,Quarterly,46.01,1.23,24.97,1.36,15.24,0.0,47.82,0.1581981879358172,IGKV,46.01,3,-0.7071067811865471,45.873333333333335,0.8660254037844387,15.92,40.66833333333333,23.7704,0.49999999999999994,9.952,0.66,0.64,4.5824823979516225,-0.7071067811865479,0.0,13.82,15,45.69
31.43,13.82,44.6860666867488,0,34.2,1.9073261865285933,0,46.61333333333334,24.77,15.69,15.55,2022,20.0,1,1.99,0.03933927407085421,6,176.36,42.1,44.892500000000005,171.47,2022-01-06 15:30:00,46.01,46.20802484311486,Quarterly,46.01,1.84,23.77,1.72,15.92,1.8100000000000023,50.19,0.7905546576082958,IGKV,47.82,3,-0.7071067811865471,46.22833333333333,0.8660254037844387,14.41,41.33041666666667,27.262999999999998,0.49999999999999994,9.7278,0.64,0.62,4.409711100826658,-0.7071067811865479,1.0450039872331671,13.7,15,45.69
