WD,NO2_lag1,PM2.5_ema_12,gap_length,PM2.5_lag24,PM2.5_roll_std_12,is_imputed,PM2.5_roll_mean_3,NH3,NOx,NOx_lag1,Year,PM2.5_lag48,Month,NO,PM2.5_pct_change,Day,PM10,PM2.5_lag12,PM2.5_roll_mean_12,PM10_lag1,DateTime,PM2.5_lag2,PM2.5_ema_6,Frequency,PM2.5_lag3,WS,NH3_lag1,NO_lag1,SO2_lag1,PM2.5_diff,PM2.5,PM2.5_roll_std_6,Location,PM2.5_lag1,Weekday,Hour_sin,PM2.5_roll_mean_6,Month_cos,SO2,PM2.5_roll_mean_24,NO_x_NO2,Month_sin,CO_x_NOx,CO_lag1,CO,PM2.5_roll_std_24,Hour_cos,PM2.5_roll_std_3,NO2,Hour,PM2.5_lag6
218.38,16.93,27.32963313517799,0,42.14,2.9259119272539857,0,25.540000000000003,12.32,30.72,30.8,2022,250.49,1,13.78,0.1082713754646841,8,72.75,23.24,23.941666666666666,65.46,2022-01-08 03:00:00,21.52,24.675423159224177,Hourly,31.25,0.3,11.83,13.88,11.77,2.330000000000002,25.62,3.3184815804872567,Siltara,23.85,5,0.7071067811865476,25.16,0.8660254037844387,12.44,27.353333333333328,236.4648,0.49999999999999994,0.0,0.0,0.0,6.5423939686168655,0.7071067811865476,5.080383843766737,17.16,3,25.42
295.23,17.16,27.066612652842913,0,39.71,2.9545496503443927,0,23.663333333333338,13.66,25.31,30.72,2022,250.49,1,15.04,0.0742138364779874,8,60.02,21.68,24.14,72.75,2022-01-08 04:00:00,23.85,24.9453022565887,Hourly,21.52,0.27,12.32,13.78,12.44,1.7699999999999996,22.31,3.322617442122981,Siltara,25.62,5,0.8660254037844386,25.19333333333333,0.8660254037844387,21.94,26.664999999999996,170.85439999999997,0.49999999999999994,0.0,0.0,0.0,5.738712171848232,0.5000000000000001,2.056364105244808,11.36,4,23.47
240.57,11.36,26.33482609086708,0,36.32,2.9121567296710453,0,23.926666666666666,14.07,30.74,25.31,2022,220.97,1,21.82,-0.1291959406713506,8,64.24,20.34,24.1925,60.02,2022-01-08 05:00:00,25.62,24.192358754706213,Hourly,23.85,0.13,13.66,15.04,21.94,-3.3100000000000023,29.19,3.473280869730122,Siltara,22.31,5,0.9659258262890683,25.0,0.8660254037844387,20.7,25.94,194.6344,0.49999999999999994,0.0,0.0,0.0,5.080370578747783,0.25881904510252074,1.6563312873152218,8.92,5,25.45
229.54,8.92,26.774083615349067,0,33.43,2.9679132552848757,0,25.706666666666667,15.06,42.35,30.74,2022,224.12,1,29.8,0.3083818915284627,8,73.84,21.06,24.930000000000003,64.24,2022-01-08 06:00:00,22.31,25.620256253361582,Hourly,25.62,0.28,14.07,21.82,20.7,6.880000000000003,32.42,3.8817710734534288,Siltara,29.19,5,1.0,25.623333333333335,0.8660254037844387,19.45,25.642916666666665,320.94599999999997,0.49999999999999994,0.0,0.0,0.0,4.636029484814864,6.123233995736766e-17,3.44081870102734,10.77,6,31.25
207.36,10.77,27.642686136064597,0,34.13,3.401372272086658,0,27.973333333333333,16.44,32.9,42.35,2022,247.43,1,24.13,0.11065433367591641,8,76.84,24.29,25.876666666666665,73.84,2022-01-08 07:00:00,29.19,27.56304018097256,Hourly,22.31,0.34,15.06,29.8,19.45,3.2300000000000004,31.88,4.234333084052287,Siltara,32.42,5,0.9659258262890683,25.81833333333334,0.8660254037844387,18.1,25.600833333333338,226.09809999999996,0.49999999999999994,0.0,0.0,0.0,4.566329433228448,-0.25881904510252063,5.163645353172476,9.37,7,21.52
230.35,9.37,28.294580576670043,0,33.76,3.765688294763652,0,31.16333333333333,16.28,46.93,32.9,2022,247.43,1,16.58,-0.016656384947563316,8,69.39,25.73,26.50916666666667,76.84,2022-01-08 08:00:00,32.42,28.796457272123256,Hourly,29.19,0.34,16.44,24.13,18.1,-0.5400000000000027,38.48,4.243294710485328,Siltara,31.88,5,0.8660254037844387,27.545,0.8660254037844387,9.82,25.507083333333338,409.0286,0.49999999999999994,0.0,0.0,0.0,4.403811075962325,-0.4999999999999998,1.7301541357173962,24.67,8,23.85
313.86,24.67,29.86156818025927,0,34.32,5.09127030644809,0,34.26,14.35,29.87,46.93,2022,252.98,1,14.33,0.20702634880803006,8,74.61,25.42,27.57166666666667,69.39,2022-01-08 09:00:00,31.88,31.563183765802325,Hourly,32.42,0.42,16.28,16.58,9.82,6.599999999999998,41.53,5.661733539005432,Siltara,38.48,5,0.7071067811865476,29.983333333333334,0.8660254037844387,11.6,25.703750000000003,236.30169999999998,0.49999999999999994,0.0,0.0,0.0,4.869199391830869,-0.7071067811865475,3.664587289178277,16.49,9,25.62
333.09,16.49,31.65671153714246,0,27.74,6.422326763766605,0,37.29666666666667,14.9,29.45,29.87,2022,259.53,1,12.86,0.07926195426195438,8,76.47,23.47,28.91416666666667,74.61,2022-01-08 10:00:00,38.48,34.410845547001664,Hourly,31.88,0.39,14.35,14.33,11.6,3.0500000000000043,31.8,6.81725677967552,Siltara,41.53,5,0.49999999999999994,32.635,0.8660254037844387,13.18,26.004166666666666,213.21879999999996,0.49999999999999994,0.0,0.0,0.0,5.592595194943715,-0.8660254037844387,4.932629454291157,16.58,10,22.31
344.37,16.58,31.67875591604362,0,23.9,6.227620052246148,0,37.27,14.29,28.1,29.45,2022,259.53,1,10.56,-0.23428846616903443,8,75.74,25.45,29.608333333333334,76.47,2022-01-08 11:00:00,41.53,33.66488967642976,Hourly,38.48,0.52,14.9,12.86,13.18,-9.73,25.71,4.721367033677662,Siltara,31.8,5,0.258819045102521,34.21666666666667,0.8660254037844387,38.23,26.173333333333332,207.6096,0.49999999999999994,0.843,0.0,0.03,5.707605655513995,-0.9659258262890682,4.976575127535737,19.66,11,29.19
358.72,19.66,30.760485775113832,0,21.05,6.212270848159785,0,33.013333333333335,13.22,23.18,28.1,2022,195.02,1,9.55,-0.19150943396226414,8,76.85,31.25,29.63,75.74,2022-01-08 12:00:00,31.8,31.392064054592687,Hourly,41.53,0.72,14.29,10.56,38.23,-6.09,23.85,5.595250366757354,Siltara,25.71,5,1.2246467991473532e-16,33.63666666666666,0.8660254037844387,34.86,26.24875,130.1665,0.49999999999999994,19.4712,0.03,0.84,5.6881863178847505,-1.0,7.97948828768739,13.63,12,32.42
