feature,importance
PM2.5_lag1,0.8711686387332112
PM10,0.05000906995094889
Hour,0.006438465831998385
PM10_lag1,0.005193732666320052
PM2.5_diff,0.004567107947542996
CO,0.004416710356895432
CO_x_NOx,0.004339913631566836
PM2.5_lag6,0.004178921425911687
PM2.5_pct_change,0.0038903794143858444
Hour_cos,0.003688248903027796
PM2.5_lag24,0.0033887641622729866
NO,0.003174418233450483
PM2.5_lag12,0.0025244038930383903
PM2.5_lag3,0.0024852742805843947
PM2.5_lag2,0.0021639073435445583
NO_x_NO2,0.002001168018046913
PM2.5_lag48,0.001671704389386611
NO_lag1,0.0016685513316881055
PM2.5_roll_std_3,0.0014268420137306102
NO2,0.0014115903437434813
NOx,0.0013256327472438317
CO_lag1,0.0013217388755185724
SO2,0.0013104090757945885
NO2_lag1,0.0012749849703471174
PM2.5_roll_std_24,0.0012394755258920346
SO2_lag1,0.0012298827262426399
PM2.5_roll_std_12,0.0012230229614444224
PM2.5_roll_std_6,0.0012207372000691242
NOx_lag1,0.0010023363126431895
PM2.5_roll_mean_24,0.0009615432163381862
Day,0.0009318383000019782
Weekday,0.0009279374305326687
PM2.5_roll_mean_3,0.0009097862464399886
NH3_lag1,0.0007731233179121589
PM2.5_roll_mean_12,0.0007673174716689461
NH3,0.0006781372583010393
Hour_sin,0.0006733216331864318
PM2.5_roll_mean_6,0.0006358803762712737
PM2.5_ema_6,0.0005442083171794132
PM2.5_ema_12,0.0005230836391709256
Year,0.0003121871927172784
gap_length,0.0002258939035024246
is_imputed,8.427881578101524e-05
Month_cos,5.733044384223668e-05
Month,2.8001494110140717e-05
Month_sin,1.0097676552663488e-05
