Source,Target,Lag,Correlation,Random Corr,Corr Diff,Wind Alignment %,Distance Category,Lag Consistent,Confidence Score,Passes Baseline
Siltara,AIIMS,1,0.3745090224968832,0.0563972274314398,0.3181117950654434,6.426332288401254,moderate,0,0.20010717582524412,True
Siltara,IGKV,1,0.5187628302527078,0.0721251313960468,0.44663769885666094,1.1428571428571428,moderate,0,0.26166712941206816,True
Siltara,Bhatagaon,1,0.23050755631017877,0.14037824126871346,0.09012931504146532,1.4742014742014742,moderate,0,0.11820218110349232,False
AIIMS,Siltara,1,0.3491093556316215,0.05585681086711251,0.29325254476450896,10.10886469673406,moderate,0,0.39477240720927886,True
AIIMS,IGKV,1,0.8217596951967668,0.03165408212553872,0.7901056130712281,5.960264900662252,moderate,0,0.41192052980132454,True
AIIMS,Bhatagaon,1,0.5632353461195369,0.05499599272361862,0.5082393533959182,12.544802867383511,near,1,0.7067072787945354,True
IGKV,Siltara,1,0.42426704096169865,0.011505138026173754,0.4127619029355249,0.2840909090909091,moderate,0,0.21270170229903115,True
IGKV,AIIMS,1,0.7916238412208901,0.007819582373856536,0.7838042588470336,0.6622516556291391,moderate,0,0.39713642392170334,True
IGKV,Bhatagaon,1,0.36891166976473205,0.128901425054337,0.24001024471039506,0.30120481927710846,moderate,0,0.18505824452092023,True
Bhatagaon,Siltara,1,0.23461645824487629,0.10547996839376031,0.12913648985111598,1.2285012285012284,moderate,0,0.11976523157944062,False
Bhatagaon,AIIMS,1,0.47268325270344086,-0.013494531154711827,0.4861777838581527,5.913978494623656,near,1,0.44816958334096774,True
Bhatagaon,IGKV,1,0.43065587846013675,-0.011964031262258343,0.4426199097223951,1.5060240963855422,moderate,0,0.21833998742283944,True
