Source,Target,LagHours,Correlation
Siltara,AIIMS,1,0.3745090224968832
Siltara,AIIMS,2,0.33077846240332454
Siltara,AIIMS,3,0.2900543081282403
Siltara,AIIMS,4,0.24789153780222323
Siltara,AIIMS,5,0.2059811627558399
Siltara,AIIMS,6,0.1680768111066649
Siltara,AIIMS,7,0.14238783613909894
Siltara,AIIMS,8,0.12448143975833058
Siltara,AIIMS,9,0.10856562283051661
Siltara,AIIMS,10,0.09209379687986188
Siltara,AIIMS,11,0.09022243483292074
Siltara,AIIMS,12,0.09287422281824019
Siltara,IGKV,1,0.5187628302527078
Siltara,IGKV,2,0.5016860309634507
Siltara,IGKV,3,0.4669540264772954
Siltara,IGKV,4,0.4192265744379411
Siltara,IGKV,5,0.36709556058847553
Siltara,IGKV,6,0.34561225011663305
Siltara,IGKV,7,0.3359488147693291
Siltara,IGKV,8,0.32858761344295595
Siltara,IGKV,9,0.30415151785069205
Siltara,IGKV,10,0.25179873877004255
Siltara,IGKV,11,0.20223474689791587
Siltara,IGKV,12,0.1388842116921458
Siltara,Bhatagaon,1,0.23050755631017877
Siltara,Bhatagaon,2,0.19231997475527382
Siltara,Bhatagaon,3,0.15937596121935088
Siltara,Bhatagaon,4,0.10488027381389832
Siltara,Bhatagaon,5,0.0761867486790778
Siltara,Bhatagaon,6,0.07605568328622099
Siltara,Bhatagaon,7,0.0839026612404075
Siltara,Bhatagaon,8,0.07658249349996171
Siltara,Bhatagaon,9,0.03268632526747529
Siltara,Bhatagaon,10,-0.018735117428752425
Siltara,Bhatagaon,11,-0.05251450270508686
Siltara,Bhatagaon,12,-0.0561525367043732
AIIMS,Siltara,1,0.380421762141266
AIIMS,Siltara,2,0.3314508214332241
AIIMS,Siltara,3,0.2906655446597033
AIIMS,Siltara,4,0.2692663671234724
AIIMS,Siltara,5,0.2698617818084003
AIIMS,Siltara,6,0.2796513814831899
AIIMS,Siltara,7,0.29501139258446246
AIIMS,Siltara,8,0.29486047721006126
AIIMS,Siltara,9,0.2914839216541574
AIIMS,Siltara,10,0.2742822398413101
AIIMS,Siltara,11,0.2583059960006074
AIIMS,Siltara,12,0.24797291208955688
AIIMS,IGKV,1,0.8217596951967668
AIIMS,IGKV,2,0.7754927838123429
AIIMS,IGKV,3,0.7147891349793652
AIIMS,IGKV,4,0.6517385425224045
AIIMS,IGKV,5,0.6136281743293832
AIIMS,IGKV,6,0.5779512746905595
AIIMS,IGKV,7,0.5504984330883189
AIIMS,IGKV,8,0.5159412266699538
AIIMS,IGKV,9,0.48526841390575326
AIIMS,IGKV,10,0.45476538780794123
AIIMS,IGKV,11,0.4164331142111953
AIIMS,IGKV,12,0.3787232430213912
AIIMS,Bhatagaon,1,0.45001229821066924
AIIMS,Bhatagaon,2,0.3948475233061055
AIIMS,Bhatagaon,3,0.3441076524382831
AIIMS,Bhatagaon,4,0.30721672934054467
AIIMS,Bhatagaon,5,0.28597580296395264
AIIMS,Bhatagaon,6,0.2828224567965462
AIIMS,Bhatagaon,7,0.26767063575455974
AIIMS,Bhatagaon,8,0.24749216284444145
AIIMS,Bhatagaon,9,0.2547903461562481
AIIMS,Bhatagaon,10,0.2496724487303371
AIIMS,Bhatagaon,11,0.23956499963129071
AIIMS,Bhatagaon,12,0.23021010475975218
IGKV,Siltara,1,0.42426704096169865
IGKV,Siltara,2,0.3470563899868342
IGKV,Siltara,3,0.2832386852903686
IGKV,Siltara,4,0.23631782674785548
IGKV,Siltara,5,0.20398762047440175
IGKV,Siltara,6,0.1818216727477086
IGKV,Siltara,7,0.15516723811157726
IGKV,Siltara,8,0.1345305959062439
IGKV,Siltara,9,0.12409226822961227
IGKV,Siltara,10,0.10886370610111855
IGKV,Siltara,11,0.09459341244730826
IGKV,Siltara,12,0.08430846034381884
IGKV,AIIMS,1,0.7916238412208901
IGKV,AIIMS,2,0.721917836474145
IGKV,AIIMS,3,0.6440008276497823
IGKV,AIIMS,4,0.576118785965818
IGKV,AIIMS,5,0.5243314135168008
IGKV,AIIMS,6,0.48196712286135196
IGKV,AIIMS,7,0.4643109411515866
IGKV,AIIMS,8,0.44449293963782727
IGKV,AIIMS,9,0.4291777454219145
IGKV,AIIMS,10,0.40591495818984763
IGKV,AIIMS,11,0.36813163615598843
IGKV,AIIMS,12,0.33089492478040444
IGKV,Bhatagaon,1,0.36891166976473205
IGKV,Bhatagaon,2,0.3264664288617793
IGKV,Bhatagaon,3,0.28811552686453845
IGKV,Bhatagaon,4,0.26705257311838526
IGKV,Bhatagaon,5,0.25030644019043474
IGKV,Bhatagaon,6,0.23696288120171977
