Source,Target,Best Lag (hours),Correlation,WindCorrFiltered,WindAlignmentScore,PollutantConsistencyScore,MonthlyConsistencyFraction,NormalizedCorrelation,Confidence Score
IGKV,AIIMS,1,0.7916238412208901,,0,1,1.0,0.949030452502672,0.6745152262513361
AIIMS,IGKV,1,0.8217596951967668,,0,0,1.0,1.0,0.5
Bhatagaon,AIIMS,1,0.47268325270344086,,0,1,1.0,0.40959800475193775,0.4047990023759689
IGKV,Siltara,1,0.42426704096169865,,0,1,1.0,0.3277104164331592,0.3638552082165796
IGKV,Bhatagaon,1,0.36891166976473205,,0,1,1.0,0.23408644865993705,0.31704322432996856
Siltara,IGKV,1,0.5187628302527078,,0,0,0.5,0.4875335833631903,0.24376679168159515
Siltara,Bhatagaon,1,0.23050755631017877,,0,1,1.0,0.0,0.2
AIIMS,Bhatagaon,1,0.45001229821066924,,0,0,1.0,0.37125403438514254,0.18562701719257127
Bhatagaon,IGKV,1,0.43065587846013675,,0,0,1.0,0.338516022160809,0.1692580110804045
AIIMS,Siltara,1,0.380421762141266,,0,0,0.75,0.2535537649189684,0.1267768824594842
Siltara,AIIMS,1,0.3745090224968832,,0,0,1.0,0.2435533957777805,0.12177669788889026
Bhatagaon,Siltara,1,0.23461645824487629,,0,0,0.6666666666666666,0.006949491874033908,0.003474745937016954
