file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\aug 2022\DCR AIIMS _ QUAT - AUGUST-2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\Decm 2022\DCR AIIMS_RAIPUR _ QUAT - DEC-2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\Decm 2022\DCR AIIMS_RAIPUR_ Hourly - DEC-2022.xls,AIIMS,Hourly,ok,,True,23.0,12.0,5.0,4.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\july 2022\DCR AIIMS RAIPUR QUARTER HOURLY ON JULY 2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\july 2022\DCR AIIMS_RAIPUR_ Hourly - July-2021.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\Nov 2022\DCR AIIMS_RAIPUR _ QUAT - NOV-2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,8.0,5.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\Nov 2022\DCR AIIMS_RAIPUR_ Hourly - NOV-2022.xls,AIIMS,Hourly,ok,,True,23.0,12.0,4.0,3.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\oct 2022\DCR AIIMS_RAIPUR _ QUAT - octo-2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\oct 2022\DCR AIIMS_RAIPUR_ Hourly - octo-2022.xls,AIIMS,Hourly,ok,,True,23.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\sept 2022\DCR AIIMS_RAIPUR _ QUAT - sept-2022.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2022\sept 2022\DCR AIIMS_RAIPUR_ Hourly - SEPT-2021.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\DCR AIIMS_RAIPUR _ QUAT - APR -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,44.0,7.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\DCR AIIMS_RAIPUR_ Hourly - APR-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\april-23\DCR AIIMS_RAIPUR _ QUAT - APR -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,44.0,7.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\april-23\DCR AIIMS_RAIPUR_ Hourly - APR-2023.xls,AIIMS,Hourly,ok,,True,23.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2023\april-23\aug-23\DCR AIIMS_RAIPUR _ QUAT  -2023.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
